id	japanese	english	display	references	notes
battle.001b4ff0	$m0「$tさんのバカヤロー！<CR>$xオレの荷物をどうしたんだよー！	"$m0: ""$t, you idiot! What have you done with my luggage?!"""			Independently translated from the pinned Japanese source. Original substitutions and gameplay effects are retained.
battle.001b7dc6	$tは アイテムが拾えなくなった！	$t can no longer pick up items!			Independently translated from the pinned Japanese source. Original substitutions and gameplay effects are retained.
battle.001b7de0	$i0は<CR>呪われていたので 外せない！	$i0 is cursed! You can't remove it!			Independently translated from the pinned Japanese source. Original substitutions and gameplay effects are retained. Reuses our matching prior draft: translations/core-gameplay.json / gameplay.001b459d.
battle.001b7df8	壁の中ではアイテムを交換できない！	You cannot swap items inside a wall!			Independently translated from the pinned Japanese source. Original substitutions and gameplay effects are retained.
battle.001b7e15	$i0と<CR>$i1を交換した。	Swapped $i0 for $i1.		interface.action.031	Independently translated from the pinned Japanese source. Original substitutions and gameplay effects are retained.
battle.001b7e27	持ち物の呪いが解けた。	The curses on your belongings were lifted.			Independently translated from the pinned Japanese source. Original substitutions and gameplay effects are retained.
battle.001b7e39	フロア中に ワナが増えてしまった！	More traps appeared throughout the floor!			Independently translated from the pinned Japanese source. Original substitutions and gameplay effects are retained.
battle.001b7e55	$tは アイテムの位置が分かった！	$t can now locate items!			Independently translated from the pinned Japanese source. Original substitutions and gameplay effects are retained.
battle.001b7e71	$tは 敵の場所が分かるようになった！	$t can now locate enemies!			Independently translated from the pinned Japanese source. Original substitutions and gameplay effects are retained.
battle.001b7e8c	$i0は<CR>$i1に変わった。	$i0 became $i1.			Independently translated from the pinned Japanese source. Original substitutions and gameplay effects are retained.
battle.001b7e9e	$i0を パンに<CR>変化させることができなかった！	$i0 could not be turned into Bread!		bread	Independently translated from the pinned Japanese source. Original substitutions and gameplay effects are retained.
battle.001b7ebf	フロアの水が すっかり かれてしまった！	All the water on this floor dried up!			Independently translated from the pinned Japanese source. Original substitutions and gameplay effects are retained.
battle.001b7edc	$i0の回数が １増えた。	$i0 gained one charge.			Independently translated from the pinned Japanese source. Original substitutions and gameplay effects are retained.
