row	english	reference_game	source	note
0	Torneko	Dragon Quest IV DS/mobile	https://dragon-quest.org/wiki/Torneko_Taloon	Established protagonist; first name as in Japanese row.
9	Hermit pixie	Dragon Quest VI DS	https://www.woodus.com/den/games/dq6ds/monsters.php	Bilingual bestiary.
10	Goblin pixie	Dragon Quest VI DS/mobile	https://dragon-quest.org/wiki/Goblin_pixie	Exact Japanese species.
14	Sniping barksman	Dragon Quest VI DS	https://dqfan527.xsrv.jp/2024/08/03/sniping-barksman/	Bilingual species reference; preserve pun.
24	Ornery onion	Dragon Quest Monsters: The Dark Prince	https://dragon-quest.org/wiki/Ornery_onion	Exact Japanese species.
25	Loathsome leek	Dragon Quest VI DS	https://dqfan527.xsrv.jp/2024/08/02/loathsome-leek/	Different onion variant from Ornery onion.
26	Malevolamp	Dragon Quest VI DS/mobile	https://dragon-quest.org/wiki/Malevolamp	Exact Japanese species.
29	Spirit	Dragon Quest II HD-2D Remake	https://dragon-quest.org/wiki/Spirit	Ghost-like species; distinct from Ghost.
30	Mean spirit	Dragon Quest II HD-2D Remake	https://dragon-quest.org/wiki/Mean_spirit	II ghost variant, not IV skeleton Sekerleton. T3 identity corroborated by Japanese DQ dictionary shinigami article.
31	Heedoo voodoo	Dragon Quest III HD-2D Remake	https://dragon-quest.org/wiki/Heedoo_voodoo	Not きとうし/Shaman.
32	Voodoogooder	Dragon Quest II HD-2D Remake	https://dragon-quest.org/wiki/Voodoogooder	Exact Japanese species; XI section is a stub, so the explicit HD-2D entry supplies evidence.
56	Legerdeman	Dragon Quest I modern releases	https://dragon-quest.org/wiki/Legerdeman_(Dragon_Quest)	I design, not V; Japanese dictionary まどうし explicitly assigns T3 to I design.
57	Vis mager	Dragon Quest I HD-2D Remake	https://dragon-quest.org/wiki/Vis_mager_(Dragon_Quest)	I design, not IV or VII; Japanese DQ dictionary だいまどう explicitly assigns T3 to I design.
60	Wimp	Dragon Quest IV DS/mobile	https://dragon-quest.org/wiki/Wimp	Exact Japanese species.
73	Wild carrot	Dragon Quest VI DS/mobile	https://dragon-quest.org/wiki/Wild_carrot	Exact Japanese species.
74	Scare root	Dragon Quest of the Stars	https://www.woodus.com/den/games/dqstarsandios/monsters-details.php?mid=270031&mname=Scare+root	Exact Japanese マンドラゴラ(DQVI); not Mandrake major (リザードマン).
82	Lump shaman	Dragon Quest XI	https://dragon-quest.org/wiki/Lump_shaman	Exact XI Japanese species.
83	Lump mage	Dragon Quest XI	https://dragon-quest.org/w/index.php?title=Lump_mage	Exact XI Japanese species.
84	Lump wizard	Dragon Quest XI	https://dragon-quest.org/wiki/Lump_wizard	Exact XI Japanese species.
85	Wrecktor	Dragon Quest XI	https://dragon-quest.org/wiki/Wrecktor_(Recurring)	II recurring design, not V; explicit XI bilingual あくま神官 entry.
86	Whackolyte	Dragon Quest XI	https://dragon-quest.org/wiki/Whackolyte	II recurring design; not VII renamed variant.
117	Iron ant	Dragon Quest II HD-2D Remake	https://dragon-quest.org/wiki/Iron_ant	Exact Japanese species.
118	Army ant	Dragon Quest II HD-2D Remake	https://dragon-quest.org/wiki/Army_ant	Exact Japanese species.
119	Somnol ant	Dragon Quest II mobile/Switch	https://dragon-quest.org/w/index.php?mobileaction=toggle_view_desktop&title=Dragon_Quest_II_translations	Bilingual translation list; retained in Builders 2 bestiary.
120	Shaman	Dragon Quest IX	https://dragon-quest.org/wiki/Shaman	きとうし, not シャーマン/Heedoo voodoo.
121	Sorcerer	Dragon Quest II HD-2D Remake	https://dragon-quest.org/wiki/Sorcerer	II design, not VI; Japanese dictionary ようじゅつし explicitly assigns T3 to II design.
122	Feralball	Dragon Quest Monsters: The Dark Prince	https://dragon-quest.org/wiki/Feralball	Use Dark Prince one-word spelling.
123	Feralbeast	Dragon Quest VI DS/mobile	https://dragon-quest.org/wiki/Feralbeast	Exact Japanese species.
126	Gargoyle	Dragon Quest Monsters: The Dark Prince	https://dragon-quest.org/wiki/Gargoyle	Shopkeeper species; no imported behaviour.
127	Knight shift	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Knight_shift	Preserve localized pun.
128	Fly-by-knight	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Fly-by-knight	Preserve official hyphens.
