id	japanese	full_english	glossary_references	notes
journey.00872fec	無効	Invalid	place.journey.00872fec	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00872ff4	はじめから	From the beginning	place.journey.00872ff4	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873000	海竜島の遺跡	Sea Dragon Isle ruins	place.journey.0087310c,interface.dungeon.006	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873010	モンスター闘技場	Monster arena	place.journey.00873010	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873024	大樹の根元	Great Tree roots	place.journey.00873024	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873030	北の高原のほこら	Northern Plateau shrine	place.journey.00873030	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873044	山脈のふもとのほこら	Mountain Foothills shrine	place.journey.00873044	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.0087305c	旅人の祭壇	Traveller's Altar	place.journey.0087305c	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873068	遺跡の休息地　北	Ruins rest stop - North	place.journey.00873068	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.0087307c	遺跡の休息地　南	Ruins rest stop - South	place.journey.0087307c	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873090	海底山地の休けい所	Seabed mountain rest stop	place.journey.00873090	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.008730a4	神殿の小部屋	Temple chamber	place.journey.008730a4	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.008730b4	いざないのほこら	Beckoning shrine	place.journey.008730b4	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.008730c8	神々のほこら	Shrine of the Gods	place.shrine_of_the_gods	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.008730d8	グレートバレイナ城下町	Great Baleina castle town	place.journey.008730d8,place.journey.00873120	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.008730f0	密林島	Jungle Isle	place.journey.008730f0	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.008730f8	グレートバレイナ島	Great Baleina Isle	place.journey.008730f8	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.0087310c	海竜島	Sea Dragon Isle	place.journey.0087310c	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873114	バリナボ島	Barinabo Isle	place.barinabo	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873120	グレートバレイナ城	Great Baleina Castle	place.journey.00873120	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873134	プチット族の村	Conklave Village	place.journey.00873134	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873144	ひかえの間	Waiting room	place.journey.00873144	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873150	密林の小屋	Jungle hut	place.journey.00873150	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.0087315c	マダム・グラコスのバザー	Madame Gracos's bazaar	place.journey.0087315c	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873178	占いババの家	Fortune-teller's house	place.journey.00873178	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873188	コスタリベラ	Costa Libera	place.journey.00873188	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00873198	海竜の灯台	Sea Dragon Lighthouse	place.journey.00873198	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.008731a4	海底の家	Undersea House	place.journey.008731a4	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.008731b0	メダル王の城	Medal King's castle	place.journey.008731b0,role.medal_king	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.008731c0	バリナボの村	Barinabo Village	place.barinabo	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Complete project label fits the native 29-byte payload and font 0; original coordinates and record index remain unchanged.
journey.00b7a55c	この先はダンジョン<LF>いざないの洞くつ　へ進みます。<LF>よろしいでしょうか？	Continue into the dungeon<LF>Beckoning cavern?	interface.dungeon.001	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Original Yes/No question meaning and parameters retained. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b7a71c	この先はダンジョン<LF>神々の道　へ進みます。<LF>よろしいでしょうか？	Continue into the dungeon<LF>Path of the gods?	interface.dungeon.013	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Original Yes/No question meaning and parameters retained. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b7a844	ロサ「こんなの　聞いてないよ……。<LF><TAB>まあ　いいや。　さっさと　地下への<LF><TAB>階段に　向かおうぜ。	"Rosa: ""Nobody told me about this... Oh, well. Let's head for the stairs down."""	enemy_rosa	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b7a8a4	ロサ「なんだい　ここは　バリナボ族長の<LF><TAB>孫である　オイラにも　封印された<LF><TAB>トビラってわけか？	"Rosa: ""What's this? A sealed door even the Barinabo chief's grandson can't open?"""	enemy_rosa,place.barinabo	Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Scope includes related return/later protagonist states; not all messages belong to the first visit.
journey.00b7aa14	“そなたが　選ばれし者ならば<LF>このトビラの記憶を　ときはなち<LF>真実への道を　進むべし”	'If you are the chosen one, free this door's memories and follow the path to truth.'		Independent translation from the pinned Japanese GBA source. Preserve mechanics, command parameters and shared pointer ownership. Scope includes related return/later protagonist states; not all messages belong to the first visit.
