offset	chapter	english	notes
BB35EC	lighthouse	Return to the dungeon\nSeabed mountain - Summit?	
BB39E4	lighthouse	"Keeper: ""I'm the lighthouse keeper here."""	
BB3A08	lighthouse	"Keeper: ""Mind you, the sacred flame went out two keepers before my time."""	Two predecessors, not necessarily two generations of family.
BB3A58	lighthouse	"???: ""I'm the lighthouse keeper here."""	
BB3A98	lighthouse	"???: ""Meow..."""	
BB3AE4	lighthouse	"???: ""Luckily, once I escaped safely, my level went back to what it had been before."""	
BB3B3C	lighthouse	"???: ""You can't take items in, and your level drops to 1. It's like a puzzle!"""	
BB3BA8	lighthouse	"???: ""I was walking outside when a strange dungeon suddenly appeared."""	
BB3BEC	lighthouse	"???: ""Well! That gave me quite a surprise."""	
BB3C7C	lighthouse	"???: ""Our wheat is the legendary Dragon's mane. It was once offered to the castle!"""	
BB3CE0	lighthouse	"???: ""For us folk living on this tiny island, these fields are our lifeline."""	
BB3D38	lighthouse	"???: ""Welcome to Sea Dragon Lighthouse!"""	
BB3D68	lighthouse	"???: ""This is Sea Dragon Lighthouse. All travellers of pure heart are welcome."""	
BB3E00	lighthouse	"Keeper: ""...Sorry. Could you come back in a little while? I need to gather my wits..."""	
BB3E60	lighthouse	"Keeper: ""Y-you can't spring this on me! Er... How do I offer it at the altar again...?"""	
BB3EC4	lighthouse	"Keeper: ""To think the Sea Dragon's sacred flame would really return..."""	
BB3F08	lighthouse	"Keeper: ""Whoa! Y-you! Is that... divine light!?"""	
BB3F6C	lighthouse	"???: ""Meow! Meow! Meow!"""	
BB3FCC	lighthouse	"???: ""Whoa! That light... It feels like it's cleansing my very soul. ...Anyway..."""	
BB4088	lighthouse	"???: ""Wha!? B-blimey, that's bright! What's that flame you've got!?"""	
BB40D4	lighthouse	"???: ""Whoa! That's bright!"""	
BB40FC	lighthouse	"???: ""Aaaah! D-don't point that at me!"""	
BB4414	lighthouse	That night's feast was a humble one,\nbut the elders' tales of bygone days\ncontinued until dawn...	
BB4474	lighthouse	Believers rejoiced. Those who had\nforgotten the legend awoke in wonder\nto their duty to guard the flame.	
BB44E8	lighthouse	And so the sacred flame burned\nonce more in Sea Dragon Lighthouse.	
BB4524	lighthouse	"Keeper: ""Hey! Everyone! Come quickly! The Sea Dragon's flame is alight!"""	
BB4578	lighthouse	"Keeper: ""...Oh! No time to stand around!"""	
BB45A8	lighthouse	"Keeper: ""It's all thanks to you. Why not go and see how they're doing?"""	
BB45FC	lighthouse	"Keeper: ""The folk in Undersea House must be delighted to have the sacred flame back."""	
BB4654	lighthouse	"Keeper: ""By the way, you must've come across the seabed to reach this island..."""	
BB46AC	lighthouse	"Keeper: ""Oh, well. I'm a generous sort, you know. I'll keep it between us."""	
BB470C	lighthouse	"Keeper: ""...Hang on! That was my job! You could've left it to me!"""	
BB4760	lighthouse	"Keeper: ""What!? The sacred flame... The Sea Dragon's flame is burning again!?"""	
BB47AC	lighthouse	Torneko offered the Sea Dragon's sacred flame at the altar!	
BB47D8	lighthouse	Offer the Sea Dragon's sacred flame at the altar?	
BB4800	lighthouse	The sacred flame blazed up, as though drawn towards the altar!	
BB4B98	lighthouse	"???: ""Now that's Dragon's mane! Good enough for the castle or anywhere else!"""	
BB4BF0	lighthouse	"???: ""Ever since the Sea Dragon's flame came back, this wheat's grown like a dream!"""	
BB4C2C	lighthouse	"???: ""Well, I'll be! What a sight!"""	
BB4CBC	lighthouse	"???: ""It's a real drag, though. Being a hero is hard work."""	
BB4CFC	lighthouse	"???: ""My brother became a hero as lighthouse keeper. I'll become one by farming!"""	
BB4D9C	lighthouse	"Keeper: ""I'm the man who lit the sacred flame for the first time in decades! Hahaha!"""	
BB4DE4	lighthouse	"Keeper: ""Oh, it's you! Thanks to you, I'm quite the hero now."""	
BB4EBC	lighthouse	"???: ""Hello, Torneko! When we get married, do come and celebrate with us. Hee hee!"""	
BB4F1C	lighthouse	"???: ""Sell or throw away something to make room, then come back."""	
BB4F68	lighthouse	"???: ""...Or I would, but it looks like you're carrying too much."""	
BB4FA4	lighthouse	"???: ""Here, take this medal with you."""	
BB4FD8	lighthouse	"???: ""Oh, yes! I've got a little something to thank you."""	
BB5008	lighthouse	"???: ""Thanks for keeping quiet. Now I get to be a hero's wife! Hee hee!"""	
BB5058	lighthouse	"???: ""I know you lit the flame. He'd never have the courage to do something like that."""	
