id	family	japanese	full_english	display	term_ids	evidence	notes
service.00c3da6c	row	<03 05 07>売る	{hex:030507}Sell			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3db04	label	何に？	Use on what?			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3db54	row	%2d<03 09 14>: 使用できない	%2d{hex:030914}: Unavailable			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3de18	menu	外す	Remove			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3de20	menu	登録から外す	Unregister			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3de30	menu	やめる	Cancel			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3de38	menu	別れる	Part ways			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3de40	menu	名前の変更	Rename			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3de4c	menu	命令する	Orders			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3de58	menu	ステータス	Status			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3de64	menu	$j2から外す	Leave $j2			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3de70	menu	$j2に加える	Join $j2			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3de7c	message	"この冒険で仲間が増えすぎて
仲間リストに加える事ができません。

最大１２０体なのであと$d0体
整理してください。"	You recruited too many allies on this adventure to add them all to the ally list.<LF>The limit is 120. Remove $d0 more allies from the list.		service.ally_list	Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3deec	message	"まだ仲間が増えすぎて
仲間リストに加える事ができません。

最大１２０体なので あと$d0体
整理してください。"	There are still too many allies to add them all to the ally list.<LF>The limit is 120. Remove $d0 more allies from the list.		service.ally_list	Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3df58	message	"いっしょに冒険にでる仲間モンスターが
多すぎます！"	Too many monster allies have been chosen for this adventure!			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3df8c	small	冒険	Adventure	Trip	service.adventure	Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained. Four-byte $j2 context field at 02008E38; full term retained separately from display.
service.00c3df94	small	仲間リスト	Ally list		service.ally_list	Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3dfa0	message	仲間リストにはだれもいません。	There are no allies on the list.		service.ally_list	Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3dfc0	message	いま$tは仲間の状態がわかりません。	$t cannot check on allies right now.		torneko;enemy_tipper	https://gamefaqs.gamespot.com/ps/374986-torneko-the-last-hope/faqs/11107;https://dragon-quest.org/wiki/Tipper_Taloon	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3dfe4	label	パスワード表示	Show passwords			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3dff4	message	"＊「読み出してきた　モンスターは
$x全部　消えてしまったぞ。"	All the monsters you loaded have disappeared.			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3e158	message	"選んだ仲間モンスター
$m0と別れますか？"	Part ways with the selected ally, $m0?			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3e180	message	"選んだ仲間モンスター達と
別れますか？"	Part ways with the selected allies?			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3e1a8	message	$m0と別れました。	You parted ways with $m0.			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3e1bc	message	仲間達と別れました。	You parted ways with the allies.			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3e1d4	message	$m0は あやつられている！	$m0 is being controlled!			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3e1f0	message	仲間達は あやつられている！	The allies are being controlled!			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
service.00c3e20c	message	"あやつられている 仲間モンスターは
冒険から はずれなかったが
何体かのモンスターは 冒険からはずれた。"	The allies being controlled stayed in the party, but some of the others left the adventure.			Independent Torneko 3 Japanese-source translation	Independently translated from the pinned Japanese source; original service mechanics and substitutions retained.
