id	japanese	full_english	glossary_references	notes
village.009c2264	ネネ「族長さまなら　なにか　ご存知かも<LF><TAB>しれないわ。　ねえ　あなた<LF><TAB>族長さまに　お話ししてみて。	"Tessie: ""Perhaps the chief knows something. Please go and speak to him, dear."""	character.tessie,role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c22c8	ネネ「それなのに　ポポロがまだ<LF><TAB>眠ったままなの……　こんなの<LF><TAB>どう考えても　おかしいわ。	"Tessie: ""But Tipper is still asleep... Something must be wrong."""	enemy_tipper,character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2324	ネネ「眠ってみたけど　なにも<LF><TAB>変わらなかったわ。　やっぱり<LF><TAB>これは　夢じゃなかったのね。	"Tessie: ""Sleeping changed nothing. So this really is not a dream."""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2380	ネネ「あっ！　あなたも　起きたのね！	"Tessie: ""Oh! You are awake too!"""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c23b8	ネネ「族長さまなら　なにか　ご存知かも<LF><TAB>しれないわ。　ねえ　あなた　<LF><TAB>族長さまに　お話ししてみて。	"Tessie: ""Perhaps the chief knows something. Please go and speak to him, dear."""	character.tessie,role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c258c	ネネ「だって　かつては<LF><TAB>世界をすくった　あなただもの。	"Tessie: ""After all, you once saved the whole world."""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c25c4	ネネ「……でも　私　信じてるわ。<LF><TAB>なにが　起きても　きっと　あなたが<LF><TAB>助けてくださるって。	"Tessie: ""But I believe in you. Whatever happens, I know you will save us."""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2620	ネネ「もしかしたら　ポポロが見た<LF><TAB>ふしぎな夢って　あの嵐のこと<LF><TAB>だったのかもしれないでしょ。	"Tessie: ""Perhaps that strange dream Tipper had was about the storm."""	enemy_tipper,character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2680	ネネ「ねえ　あなた……。<LF><TAB>私　なんだか　今回のことは<LF><TAB>ただの事故じゃない気がするの。	"Tessie: ""You know, dear... I have a feeling this was no ordinary accident."""	character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c26d8	ネネ「まあ　そんなことが……。<LF><TAB>でも　ポポロのことも<LF><TAB>考えてくださるのね？	"Tessie: ""Goodness... But he will think about how to help Tipper too?"""	enemy_tipper,character.tessie	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c2724	ネネ「え？　なんですって？<LF><TAB>北のほこらの　神の像が　倒れて<LF><TAB>族長さまが　出て行ったの？	"Tessie: ""What? The statue at the northern shrine fell, and the chief went to see it?"""	character.tessie,role.village_chief,place.shrine_of_the_gods	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
village.009c28f4	族長「よろしければ　しばし<LF><TAB>考えてみてくだされ。　孫と<LF><TAB>話してみるのも　よろしかろう。	"Chief: ""Take a little time to think. You might wish to speak with my grandchildren."""	role.village_chief	Independent translation from the pinned Japanese GBA script. Full message fits the original three-line page; preserve event parameters, speaker identity, and shared operand ownership.
