offset	english	display	notes	references
0009B34C	something		Technical companion copy for unknown result actors, scoped to the three reviewed literal pointers. Supplies the explicit English object needed by the rewritten tails; this does not translate other empty strings.	
0009B35C	$t in $i1: 	$t/$i1: 	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
0009B368	$i1: 	$i1: 	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
0009B370	$t in $i1: 	$t/$i1: 	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
0009B37C	$i1: 	$i1: 	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
0009B384	$t in $i1: 	$t/$i1: 	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
0009B390	$i1: 	$i1: 	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
0009B398	$t in $i1 $d0F: 	$t/$i1 $d0F: 	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
0009B3AC	$i1 $d0F: 	$i1 $d0F: 	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
0009B3BC	$d0F: 	$d0F: 	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
0009B3C8	$t in $i1 $d0F: 	$t/$i1 $d0F: 	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
0009B3D8	$i1 $d0F: 	$i1 $d0F: 	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
0009B3E4	$d0F: 	$d0F: 	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form. Paired with the result tail as a location/status heading; original cause-dependent and list-mode substitutions remain distinct.	
0009B410	something		Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
0009B418	/Could not revive with a Yggdrasil leaf.	/Yggdrasil leaf could not revive	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_276
0009B438	/$t was in $m2 form.	/$t was $m2	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	
0009B44C	/It was caused by a Golden staff.	/Caused by a Golden staff	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	combined_item_085
0009B468	/It was caused by a Shaman's staff.	/Caused by a Shaman's staff	Independent translation of the pinned Japanese result resource. Full wording is retained beside its result-panel display form.	enemy_shaman
