offset	japanese	english	references	notes
0x00870760	メダル王「わしは　いつでも　ここにおる。<LF><TAB>がんばって　集めてくるのだぞ。	"Medal King: ""I shall always be here. Keep searching for those medals!"""	role.medal_king,role.king	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008707AC	＊「ええと　お客さんが売りたい物を<LF><TAB>まとめると　%dゴールドに<LF><TAB>なるが　いいかね？	"???: ""That comes to %d gold for everything you want to sell. Is that all right?"""	combined_item_341	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870800	＊「たしかに　買い取ったよ。<LF><TAB>まいどあり！	"???: ""I'll take them, then. Thanks for your business!"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x0087082C	＊「%sだね。<LF><TAB>%dゴールドで<LF><TAB>引き取ろう。いいかい？	"???: ""%s, eh? I'll give you %d gold for it. How's that?"""	combined_item_341	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870860	メダル王「しかし　そなたからは<LF><TAB>%d枚しか　メダルを<LF><TAB>あずかっておらんぞ。<LF>メダル王「残念じゃが<LF><TAB>その品と　交換することは<LF><TAB>できんのう。	"Medal King: ""But I only have %d of your medals. I'm afraid that isn't enough for this reward."""	role.medal_king,role.king	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008708E8	メダル王「むむ。<LF><TAB>にもつがいっぱいで　そのままでは<LF><TAB>もてないようじゃな。<LF>メダル王「しっかりと　整理してから<LF><TAB>出直してくるのじゃな。	"Medal King: ""Hmm. Your bag is full. You cannot carry this as you are. Put your belongings in order, then come back."""	role.medal_king,role.king	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x0087096C	メダル王「なにか　ほしいものはあるのかな？	"Medal King: ""Is there anything you would like?"""	role.medal_king,role.king	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870998	メダル王「よし！　それでは<LF><TAB>メダル%d枚分のほうびとして<LF><TAB>%sを　さずけようぞ！	"Medal King: ""Very well! For %d medals, I shall bestow upon you %s!"""	role.medal_king,role.king	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x008709E8	メダル王「%sじゃな。<LF><TAB>これは　メダル%d枚と交換じゃ。<LF><TAB>よいのじゃな？	"Medal King: ""%s, is it? That will cost %d medals. Is that agreeable?"""	role.medal_king,role.king	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870A30	メダル王「そなたからは　げんざい<LF><TAB>%d枚の　メダルを　あずかっておる。<LF><LF>メダル王「メダルの枚数におうじて<LF><TAB>ほうびをとらせよう。<LF><TAB>なにか　ほしいものはあるのかな？	"Medal King: ""I am currently holding %d of your medals. I offer rewards according to the number you bring. Is there anything you would like?"""	role.medal_king,role.king	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870AD0	メダル王「よくぞ来た！　わしは　世界中の<LF><TAB>ちいさなメダルを　集めておる。	"Medal King: ""Welcome! I collect the mini medals found all over the world."""	combined_item_344,role.medal_king,role.king	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870B1C	＊「ええと　お客さんが売りたい物を<LF>  まとめると　$d0ゴールドに<LF> なるが　いいかね？	"???: ""That comes to $d0 gold for everything you want to sell. Is that all right?"""	combined_item_341	Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
0x00870B70	＊「ようこそ。指輪の専門店に。<LF><TAB>ご用は　なんでしょう？	"???: ""Welcome to the ring shop. How may I help you?"""		Independently translated from the pinned Japanese source. Original substitutions, argument order and transaction effects retained. Anonymous speaker remains ???; polite and casual shop voices stay distinct.
