id	japanese	species_japanese	full_english	display	glossary_references	status	source_ids	notes
ally.nickname.000	トルネコ	トルネコ	Torneko	Torko	torneko	retained_character_name		Retains the existing scoped glossary identity. This table row is not proof of ordinary monster recruitment. Full name retained as Torneko; Torko is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.001	スモグル	スモールグール	Smogul	Smogu	ally.nickname.source-001aaaac	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Smogul; Smogu is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.002	ベロベエ	ベロベロ	Berobay	Bero	ally.nickname.source-001aaaa0	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Berobay; Bero is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.003	はぐりん	はぐれメタル	Merc		ally.nickname.source-001aaa94	modern_official_nickname_secondary_inferred_ordinal	nickname_dq5_japanese,nickname_dq5_english	Exact Japanese nickname/species matches DQ V recruit number 1. English counterpart inferred from the same ordinal in the DS guide; secondary evidence, not a direct bilingual capture. Other DQ V defaults are not substituted merely because the species matches. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.004	バブルス	バブルスライム	Bubbles	Bubbs	ally.nickname.source-001aaa88	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Bubbles; Bubbs is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.005	イエッタ	イエティ	Sloth		ally.nickname.source-001aaa7c	modern_official_nickname_secondary_inferred_ordinal	nickname_dq5_japanese,nickname_dq5_english	Exact Japanese nickname/species matches DQ V recruit number 1. English counterpart inferred from the same ordinal in the DS guide; secondary evidence, not a direct bilingual capture. Other DQ V defaults are not substituted merely because the species matches. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.006	ビッグス	ビッグスロース	Biggs		ally.nickname.source-001aaa70	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.007	マドーン	マドハンド	Maddon	Maddy	ally.nickname.source-001aaa64	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Maddon; Maddy is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.008	ブラバン	ブラッドハンド	Braban	Brab	ally.nickname.source-001aaa58	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Braban; Brab is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.009	はねじい	はねせんにん	Wingsage	Wingo	ally.nickname.source-001aaa4c	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Wingsage; Wingo is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.010	ハエール	ハエまどう	Hael		ally.nickname.source-001aaa40	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.011	リリー	リリパット	Lily		ally.nickname.source-001aaa38	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.012	アローン	アローインプ	Arlon		ally.nickname.source-001aaa2c	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.013	ドック	どくやずきん	Doc		ally.nickname.source-001aaa24	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.014	ナイパー	ドッグスナイパー	Sniper	Snipe	ally.nickname.source-001aaa18	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Sniper; Snipe is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.015	ゴレムス	ゴーレム	Mason		ally.nickname.source-001aaa0c	modern_official_nickname_secondary_inferred_ordinal	nickname_dq5_japanese,nickname_dq5_english	Exact Japanese nickname/species matches DQ V recruit number 1. English counterpart inferred from the same ordinal in the DS guide; secondary evidence, not a direct bilingual capture. Other DQ V defaults are not substituted merely because the species matches. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.016	ストーム	ストーンマン	Strom		ally.nickname.source-001aaa00	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.017	ゴルドン	ゴールドマン	Goldon	Goldo	ally.nickname.source-001aa9f4	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Full name retained as Goldon; Goldo is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.018	ホイミン	ホイミスライム	Healie	Healy	ally.nickname.source-001aa9e8	modern_shared_nickname_secondary_editorial_reuse	nickname_healie	Use the explicit modern ホイミン/Healie pairing as a shared nickname. DQ V first-recruit naming differs; no claim this Torneko recruit is the IV/VI character. Full name retained as Healie; Healy is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.019	べホマン	ベホマスライム	Curetis	Curet	ally.nickname.source-001aa9dc	modern_official_nickname_secondary_inferred_ordinal	nickname_dq5_japanese,nickname_dq5_english	Exact Japanese nickname/species matches DQ V recruit number 1. English counterpart inferred from the same ordinal in the DS guide; secondary evidence, not a direct bilingual capture. Other DQ V defaults are not substituted merely because the species matches. Full name retained as Curetis; Curet is an explicit project short display for the five-character stored field, not another official localization. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
ally.nickname.020	シビル	しびれくらげ	Sybil		ally.nickname.source-001aa9d4	project_nickname_adaptation		Independent adaptation of the original personal nickname, preserving phonetic or wordplay cues; not an official species-name replacement. Duplicate recruits retain their numeric suffix; a five-letter base loses its last letter before adding the digit.
