id	family	japanese	full_english	display	term_ids	evidence	notes
help.000ea470	help	<文字入力操作の説明><CR>$x十字ボタン　：　カーソル移動<CR>$xＡボタン　：　入力　決定<CR>$xＢボタン　：　けす　中止<CR>$xＬボタン　：　「ひらがな」「カタカナ」切り替え<CR>$xＲボタン　：　「おわり」にカーソル移動<CR>$xＳＴＡＲＴボタン　：　濁点　半濁点<CR>$xＳＥＬＥＣＴボタン　：　「りれき」ショートカット	<Text entry controls><LF>D-pad: Move the cursor<LF>A: Enter or confirm<LF>B: Erase or cancel<LF>L: Switch letter case<LF>R: Move to Done<LF>START: Change voicing (kana only)<LF>SELECT: Recent entries			Independent Torneko 3 Japanese-source translation	Independent translation from the pinned Japanese. Gameplay mechanics are specific to Torneko 3. Explicit English lines replace Japanese indentation; all controls and mechanics are retained. L now describes the existing Latin keyboard patch; START still handles legacy kana voicing. No keyboard handler is changed here.
help.000ea58c	help	<基本操作の説明><CR>$x十字ボタン　：　移動<CR>$xＢボタン＋十字ボタン　：　ダッシュ<CR>$xＡボタン　：　攻撃 決定<CR>$xＢボタン　：　キャンセル<CR>$xＢボタンチョイ押し　：　メニューを開く<CR>$xＲボタンチョイ押し　：　方向転換<CR>$xＳＴＡＲＴボタン　：　方向転換<CR>$xＲボタン＋十字ボタン　：　斜め移動<CR>$xＬボタン　：　仲間リストを開く	<Dungeon controls><LF>D-pad: Move<LF>B + D-pad: Dash<LF>A: Attack or confirm<LF>B: Cancel<LF>Tap B: Open the menu<LF>Tap R or START: Change direction<LF>R + D-pad: Move diagonally<LF>L: Open the ally list			Independent Torneko 3 Japanese-source translation	Independent translation from the pinned Japanese. Gameplay mechanics are specific to Torneko 3. Explicit English lines replace Japanese indentation; all controls and mechanics are retained.
help.000ea6c4	help	<冒険のヒント><CR>・地上には 壺やタルなど 調べることが<CR>$xできるものが たくさんあるぞ。<CR>$x中にはとっても きちょうなアイテムも<CR>$x入っていることがあるので<CR>$x調べてみるといいぞ！	<Adventure tips><LF>There are plenty of pots, barrels and<LF>other things to search above ground.<LF>Some contain very valuable items.<LF>Be sure to check them!			Independent Torneko 3 Japanese-source translation	Independent translation from the pinned Japanese. Gameplay mechanics are specific to Torneko 3. Explicit English lines replace Japanese indentation; all controls and mechanics are retained.
help.000ea770	help	<冒険のヒント><CR>・$tが動けばモンスターも動くぞ！<CR>$x自分が動くまでモンスターも動かないので<CR>$xあせらずゆっくりと次の手を考えよう！<CR>・ダンジョンに入ったらすぐに装備をしよう！<CR>$xダンジョンに入った時は装備をしていないぞ。<CR>$x武器や盾、指輪などを持っていたら<CR>$xわすれずに装備しよう！	<Dungeon tips><LF>Monsters move when $t moves.<LF>They wait until you act, so take your<LF>time and think about your next move!<LF>You start a dungeon with nothing<LF>equipped. If you have a weapon,<LF>shield or ring, remember to equip it<LF>as soon as you enter!		torneko;enemy_tipper	https://gamefaqs.gamespot.com/ps/374986-torneko-the-last-hope/faqs/11107;https://dragon-quest.org/wiki/Tipper_Taloon	Independent translation from the pinned Japanese. Gameplay mechanics are specific to Torneko 3. Explicit English lines replace Japanese indentation; all controls and mechanics are retained.
help.000ea884	help	<仲間への命令について><CR>・命令は$tと隣接している<CR>$x仲間モンスターのみ行うことができます。<CR>・命令は$tのレベルによって<CR>$x与えられる命令が増えていきます。<CR>・仲間モンスターの一覧表を見るには<CR>$x「仲間」を選択するか Ｌボタンを<CR>$x押してください。	<Orders for allies><LF>You can only give orders to allied<LF>monsters next to $t.<LF>More orders become available as<LF>$t's level increases.<LF>To see the list of allied monsters,<LF>choose Allies or press L.		torneko;enemy_tipper	https://gamefaqs.gamespot.com/ps/374986-torneko-the-last-hope/faqs/11107;https://dragon-quest.org/wiki/Tipper_Taloon	Independent translation from the pinned Japanese. Gameplay mechanics are specific to Torneko 3. Explicit English lines replace Japanese indentation; all controls and mechanics are retained.
help.000ea974	help	<まとめ入れ><CR>倉庫や壺に複数のアイテムを<CR>一度に入れたり出したりすることができます。<CR>RボタンのかわりにＬボタンでも<CR>まとめて出し入れすることができます。<CR><CR>・Ｒボタン＋Ａボタンで<CR>$xまとめ入れアイテム選択します。<CR>・Ｒボタン＋Ｂボタンで<CR>$xまとめ入れアイテム選択を解除します。	<Moving several items><LF>You can put several items into a pot<LF>or storage, or take them out at once.<LF>R + A: Select an item for the group.<LF>R + B: Deselect an item.<LF>You can also use L instead of R to<LF>select items for a group transfer.			Independent Torneko 3 Japanese-source translation	Independent translation from the pinned Japanese. Gameplay mechanics are specific to Torneko 3. Explicit English lines replace Japanese indentation; all controls and mechanics are retained.
help.000eaa84	help	<$tやモンスターの速度について><CR>・普通の状態<CR>$x１ターンに１回移動か攻撃ができる。<CR>・倍速１回攻撃<CR>$x１ターンに２回移動できるが<CR>$x攻撃をした場合はターンが終わる。<CR>・倍速２回攻撃<CR>$x１ターンに２回移動か攻撃ができる。<CR>・鈍足状態<CR>$x２ターンに１回移動か攻撃ができる。	<Speed: $t and monsters><LF>Normal: Move or attack once per turn.<LF>Double speed, one attack:<LF>Move twice per turn, but attacking<LF>ends your turn.<LF>Double speed, two attacks:<LF>Move or attack twice per turn.<LF>Slow: Move or attack once every<LF>two turns.		torneko;enemy_tipper	https://gamefaqs.gamespot.com/ps/374986-torneko-the-last-hope/faqs/11107;https://dragon-quest.org/wiki/Tipper_Taloon	Independent translation from the pinned Japanese. Gameplay mechanics are specific to Torneko 3. Explicit English lines replace Japanese indentation; all controls and mechanics are retained.
help.000eab88	help	<全体マップ><CR>ＳＥＬＥＣＴボタンを押すと全体マップのみ<CR>表示できるようになります。<CR>ＳＥＬＥＣＴボタンかBボタンでゲームに戻ります。<CR>全体マップ表示中にＡボタンでモンスターの<CR>表示が消えて　モンスターの足元の<CR>アイテムや階段が　見えるようになります。<CR>「作戦」>「ゲーム設定」の中で<CR>表示方法を変えたり　ゲーム中には<CR>表示しないように　することができます。	<Full map><LF>Press SELECT to show the full map.<LF>Press SELECT or B to return to play.<LF>On the full map, press A to hide<LF>monsters and see items or stairs<LF>underneath them.<LF>In Tactics > Game settings, you can<LF>change the map display or hide it<LF>during play.		core.tactics	https://www.nintendo.com/eu/media/downloads/games_8/emanuals/nintendo_3ds_2/dragonquest7/ElectronicManual_Nintendo3DS_DragonQuest7_EN.pdf	Independent translation from the pinned Japanese. Gameplay mechanics are specific to Torneko 3. Explicit English lines replace Japanese indentation; all controls and mechanics are retained.
help.000eace4	help	<基本操作の説明><CR>$x十字ボタン　：　移動<CR>$xＢボタン＋十字ボタン　：　ダッシュ<CR>$xＡボタン　：　攻撃 決定<CR>$xＢボタン　：　キャンセル<CR>$xＢボタンチョイ押し　：　メニューを開く<CR>$xＲボタンチョイ押し　：　方向転換<CR>$xＳＴＡＲＴボタン　：　方向転換<CR>$xＲボタン＋十字ボタン　：　斜め移動<CR>$xＬボタン　：　装備している矢を撃つ	<Dungeon controls><LF>D-pad: Move<LF>B + D-pad: Dash<LF>A: Attack or confirm<LF>B: Cancel<LF>Tap B: Open the menu<LF>Tap R or START: Change direction<LF>R + D-pad: Move diagonally<LF>L: Fire equipped arrows			Independent Torneko 3 Japanese-source translation	Independent translation from the pinned Japanese. Gameplay mechanics are specific to Torneko 3. Explicit English lines replace Japanese indentation; all controls and mechanics are retained.
help.000eae20	help	<基本操作の説明><CR>$x十字ボタン：移動<CR>$xＢボタン＋十字ボタン：ダッシュ<CR>$xＡボタン：人と話す　調べる　決定<CR>$xＢボタン：キャンセル<CR>$xＢボタンチョイ押し：メニューを開く<CR>$xＳＴＡＲＴボタン：地図を見る	<World controls><LF>D-pad: Move<LF>B + D-pad: Dash<LF>A: Talk, search or confirm<LF>B: Cancel<LF>Tap B: Open the menu<LF>START: View the map			Independent Torneko 3 Japanese-source translation	Independent translation from the pinned Japanese. Gameplay mechanics are specific to Torneko 3. Explicit English lines replace Japanese indentation; all controls and mechanics are retained.
