japanese	english	reference_game	source
ラリホー	Snooze	Dragon Quest XI	https://dragon-quest.org/wiki/Snooze
メダパニ	Fuddle	Dragon Quest XI	https://dragon-quest.org/wiki/Fuddle
スカラ	Buff	Dragon Quest XI	https://dragon-quest.org/wiki/Buff
ルカナン	Kasap	Dragon Quest XI	https://dragon-quest.org/wiki/Kasap
イオナズン	Kaboom	Dragon Quest XI	https://dragon-quest.org/wiki/Kaboom
バイキルト	Oomphle	Dragon Quest XI	https://dragon-quest.org/wiki/Oomphle
ピオリム	Acceleratle	Dragon Quest XI	https://dragon-quest.org/wiki/Acceleratle
ボミオス	Deceleratle	Dragon Quest XI	https://dragon-quest.org/wiki/Deceleratle
バシルーラ	Bazoom	Dragon Quest VI DS / VII 3DS	https://dragon-quest.org/wiki/Bazoom
レムオル	Fade	Dragon Quest III HD-2D Remake	https://dragon-quest.org/wiki/Fade
ザキ	Whack	Dragon Quest XI	https://dragon-quest.org/wiki/Whack
ルカニ	Sap	Dragon Quest XI	https://dragon-quest.org/wiki/Sap
マヌーサ	Dazzle	Dragon Quest XI	https://dragon-quest.org/wiki/Dazzle
レミーラ	Glow	Dragon Quest I Mobile / Switch	https://dragon-quest.org/wiki/Glow
シャナク	Sheen	Dragon Quest III HD-2D Remake	https://dragon-quest.org/wiki/Sheen
インパス	Peep	Dragon Quest III HD-2D Remake	https://dragon-quest.org/wiki/Peep
イオ	Bang	Dragon Quest XI	https://dragon-quest.org/wiki/Bang
リレミト	Evac	Dragon Quest XI	https://dragon-quest.org/wiki/Evac
パルプンテ	Hocus Pocus	Dragon Quest III HD-2D Remake	https://dragon-quest.org/wiki/Hocus_Pocus
トラマナ	Safe Passage	Dragon Quest III HD-2D Remake	https://dragon-quest.org/wiki/Safe_Passage
ザオラル	Zing	Dragon Quest XI	https://dragon-quest.org/wiki/Zing
ニフラム	Poof	Dragon Quest XI	https://dragon-quest.org/wiki/Poof
ルーラ	Zoom	Dragon Quest XI	https://dragon-quest.org/wiki/Zoom
メガンテ	Kamikazee	Dragon Quest XI	https://dragon-quest.org/wiki/Kamikazee
ザメハ	Cock-a-doodle-doo	Dragon Quest XI	https://dragon-quest.org/wiki/Cock-a-doodle-doo
ムーンサルト	Harvest Moon	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Harvest_Moon
真空斬り	Gust Slash	Dragon Quest VII 3DS	https://dragon-quest.org/wiki/Gust_Slash
