id	japanese	full_english	glossary_references	notes
opening.0091bbb4	$c商人トルネコ。　彼は　かつて<LF>$c天空にみちびかれし　勇者たちとともに<LF>$c邪悪なる大魔王を　うちたおしました。	{center}Torneko, a merchant, once joined<LF>{center}heroes guided by the heavens<LF>{center}to defeat an evil demon king.	torneko	Existing first narration and allocation reused without edits.
opening.0091bb3c	$cその後　自分のお店をもった　トルネコは<LF>$c愛する妻のネネ　ひとり息子のポポロとともに<LF>$c平和な生活をおくっていました。	Torneko later opened a shop of his own.<LF>He lived peacefully with his wife Tessie<LF>and their only son, Tipper.	torneko,enemy_tipper,character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.0091bacc	$cそうして　なん年かが　過ぎた　ある日<LF>$cふとした出来事が　トルネコを<LF>$c不思議な洞くつへと　みちびきますが……	Several years passed. Then one day,<LF>a chance encounter led Torneko<LF>to a mysterious cave...	torneko	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.0091ba54	$cトルネコは　つぎつぎと現れる洞くつを<LF>$c冒険し　魔物とたたかい　人びとに　また<LF>$c新たな幸せを　もたらしたのでした。	Exploring one cave after another,<LF>Torneko fought monsters and brought<LF>fresh happiness to the people.	torneko	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.0091b9e8	$c……そんな　大いそがしのトルネコも<LF>$cついに　お休みをとって　家族だけの<LF>$c旅行に　でかける決心をします。	At last, the ever-busy Torneko decided<LF>to take a break from work<LF>and travel with his family.	torneko	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.0091b9c8	<LF>$cそれが　今回の　長い長い旅。	<LF>And so began a very, very long journey.		Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.0091b970	$cここは　はるか遠い　海の上。<LF>$c今日は　息子ポポロの　１２才の<LF>$cたんじょう日です。	Now they are far away, out at sea.<LF>Today is Tipper's twelfth birthday.	enemy_tipper	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
opening.0091b90c	＊「……さあ　ロウソクに　火がついたわ。<LF><TAB>ねえ　あなた。　もう　ポポロを<LF><TAB>呼んでも　いいわよね？	"???: ""There, the candles are lit.<LF>Shall we call Tipper in now, dear?"""	enemy_tipper	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately. The original anonymous speaker marker remains anonymous as ???; no identity is revealed early.
opening.0091b8c8	＊「ポポロ～！　いらっしゃ～い！<LF><TAB>ケーキの用意が　できたわよ～！	"???: ""Tipper! Come along!<LF>Your cake is ready!"""	enemy_tipper	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately. The original anonymous speaker marker remains anonymous as ???; no identity is revealed early.
opening.00c2f660	ネネ「ポポロ～！　どうしたの？<LF><TAB>はやく　いらっしゃ～い！	"Tessie: ""Tipper! What are you doing?<LF>Come along, now!"""	enemy_tipper,character.tessie	Independent translation of the Japanese event source. Manual line breaks preserve sentence rhythm; native wrapping/centering and continuation tabs are measured separately.
