id	japanese	english	display	glossary_references	notes
history.00c4e4bc	$tの冒険の回数<03><03 08 9B>$v07回	$t's adventure count{hex:03}{hex:03089b}$v07	$t's adventures{hex:03}{hex:03089b}$v07		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e49c	$tの最大レベル<03><03 08 A6>$v07	$t's highest level{hex:03}{hex:0308a6}$v07	$t's max level{hex:03}{hex:0308a6}$v07		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e47c	$tの最大ＨＰ<03><03 08 A6>$v07	$t's highest HP{hex:03}{hex:0308a6}$v07	$t's max HP{hex:03}{hex:0308a6}$v07		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e45c	$tの最大経験値<03><03 08 A6>$v07	$t's highest experience{hex:03}{hex:0308a6}$v07	$t's max experience{hex:03}{hex:0308a6}$v07		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e43c	$tの最大ちから<03><03 08 A6>$v07	$t's highest strength{hex:03}{hex:0308a6}$v07	$t's max strength{hex:03}{hex:0308a6}$v07		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e40c	フロアで倒した最大モンスター数<03><03 08 A6>$v07	Most monsters defeated on one floor{hex:03}{hex:0308a6}$v07	Most kills on one floor{hex:03}{hex:0308a6}$v07		Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e3dc	バリナボチャレンジクリアレベル<03 08 A6>$v07	Barinabo Challenge clear level{hex:0308a6}$v07	Barinabo clear level{hex:0308a6}$v07	place.barinabo	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e39c	海竜の灯台に聖火を灯した	Lit the sacred flame at Sea Dragon Lighthouse	Lit Sea Dragon Lighthouse's flame	place.journey.00873198	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e374	グレートバレイナ島まで到着した	Reached Great Baleina Isle		place.journey.008730f8	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e358	ポポロが目覚めた	Tipper woke up		enemy_tipper	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
history.00c4e324	ポポロでグレートバレイナ島にたどり着いた	Reached Great Baleina Isle as Tipper	Tipper reached Great Baleina Isle	enemy_tipper,place.journey.008730f8	Independent translation from the pinned Japanese history entry. Full English retained; display wording is shortened only for the original single-row layout.
