id	chapter	japanese	full_english	glossary_references	notes
completion.00bb35ec	lighthouse	この先はダンジョン<LF>海底山地　山頂部　へ戻ります。<LF>よろしいでしょうか？	Return to the dungeon<LF>Seabed mountain - Summit?	interface.dungeon.023,character.castle_john	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb39e4	lighthouse	灯台守「オレぁ　ここの灯台守よ。	"Keeper: ""I'm the lighthouse keeper here."""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb3a08	lighthouse	灯台守「といっても　聖なる炎は<LF><TAB>オレの先々代の時に<LF><TAB>消えちまってるんだけどな。	"Keeper: ""Mind you, the sacred flame went out two keepers before my time."""	lore.sea_dragon_flame,role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. Two predecessors, not necessarily two generations of family.
completion.00bb3a58	lighthouse	＊「オレぁ　ここの灯台守よ。	"???: ""I'm the lighthouse keeper here."""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb3a98	lighthouse	＊「にゃぁ……。	"???: ""Meow..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb3ae4	lighthouse	＊「まあ　無事に　脱出したら<LF><TAB>入る前のレベルに　もどっていたので<LF><TAB>安心しましたけど。	"???: ""Luckily, once I escaped safely, my level went back to what it had been before."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb3b3c	lighthouse	＊「なにしろ　アイテムは持って入れないし<LF><TAB>レベルは１に　なってしまうし<LF><TAB>まるで　パズルのようなんですよ。	"???: ""You can't take items in, and your level drops to 1. It's like a puzzle!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb3ba8	lighthouse	＊「外を歩いていたら　いきなり<LF><TAB>おかしなダンジョンが現れましてね。	"???: ""I was walking outside when a strange dungeon suddenly appeared."""	character.castle_john	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb3bec	lighthouse	＊「いやはや　おどろきました。	"???: ""Well! That gave me quite a surprise."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb3c7c	lighthouse	＊「しかも　この島で育つ麦は<LF><TAB>竜のタテガミと呼ばれ　かつては<LF><TAB>お城にも献上された　伝説の品だよ。	"???: ""Our wheat is the legendary Dragon's mane. It was once offered to the castle!"""	lore.dragons_mane	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb3ce0	lighthouse	＊「この小さな島だけで暮らす<LF><TAB>わしらにとって　この畑は<LF><TAB>命の源ですだ。	"???: ""For us folk living on this tiny island, these fields are our lifeline."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb3d38	lighthouse	＊「海竜の灯台へ　ようこそ！	"???: ""Welcome to Sea Dragon Lighthouse!"""	place.journey.00873198	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb3d68	lighthouse	＊「ここは　海竜の灯台。<LF><TAB>心清き旅人は　どなたでも<LF><TAB>歓迎いたします。	"???: ""This is Sea Dragon Lighthouse. All travellers of pure heart are welcome."""	place.journey.00873198	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb3e00	lighthouse	灯台守「……すまん。　しばらくしてから<LF><TAB>また　来てくれないか？<LF><TAB>ちょっと　心のじゅんびが……。	"Keeper: ""...Sorry. Could you come back in a little while? I need to gather my wits..."""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb3e60	lighthouse	灯台守「そんな……　こ　こまるよ。<LF><TAB>いきなり　言われても。<LF><TAB>ええと　炎の祭壇への　ささげ方は……	"Keeper: ""Y-you can't spring this on me! Er... How do I offer it at the altar again...?"""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb3ec4	lighthouse	灯台守「まさか　本当に　海竜の聖火が<LF><TAB>ふたたび　もどるなんて……	"Keeper: ""To think the Sea Dragon's sacred flame would really return..."""	lore.sea_dragon_flame,role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb3f08	lighthouse	灯台守「わっ！　あんた　そ　それは<LF><TAB>まさか……　聖なる神の光！？	"Keeper: ""Whoa! Y-you! Is that... divine light!?"""	role.lighthouse_keeper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00bb3f6c	lighthouse	＊「にゃん　にゃん　にゃん！	"???: ""Meow! Meow! Meow!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00bb3fcc	lighthouse	＊「わっ！？　な　なんだか<LF><TAB>心が洗われるような　光が……。<LF><TAB>……それは　さておき	"???: ""Whoa! That light... It feels like it's cleansing my very soul. ...Anyway..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
