id	family	row	field	japanese	full_english	display	glossary_references	wording_status	notes
ally.dialogue.001.0	dialogue	1	0	$m0「うへへへ。<CR>$xおいら　あんたのために<CR>$xがんばるよ～。	"$m0: ""Heh heh heh. I'll do my best for you!"""		enemy.drooling_ghoul	independent_dialogue_existing_glossary	Independent translation from the pinned Japanese. Full eight-response set for this species; existing glossary names retained. Voice and sound effects are project dialogue choices. $x indentation replaced by measured English pages.
ally.dialogue.001.1	dialogue	1	1	$m0「おいら<CR>$x身体は　ちっこいけど<CR>$x勇気だけは　人いち倍さ！	"$m0: ""I may be small, but I've got more courage than anyone!"""		enemy.drooling_ghoul	independent_dialogue_existing_glossary	Independent translation from the pinned Japanese. Full eight-response set for this species; existing glossary names retained. Voice and sound effects are project dialogue choices. $x indentation replaced by measured English pages.
ally.dialogue.001.2	dialogue	1	2	$m0「う～ん。<CR>$xおいら　ちょっと　ケガしてるけど<CR>$xまだまだ　いけるよ～。	"$m0: ""Hmm... I'm a little hurt, but I've still got plenty of fight in me!"""		enemy.drooling_ghoul	independent_dialogue_existing_glossary	Independent translation from the pinned Japanese. Full eight-response set for this species; existing glossary names retained. Voice and sound effects are project dialogue choices. $x indentation replaced by measured English pages.
ally.dialogue.001.3	dialogue	1	3	$m0「ん～　なんか<CR>$xだいぶ　体力が　減ってるよ。	"$m0: ""Hmm... I've lost quite a lot of strength."""		enemy.drooling_ghoul	independent_dialogue_existing_glossary	Independent translation from the pinned Japanese. Full eight-response set for this species; existing glossary names retained. Voice and sound effects are project dialogue choices. $x indentation replaced by measured English pages.
ally.dialogue.001.4	dialogue	1	4	$m0「うう……。<CR>$xおいら　そろそろ　ダメみたい。<CR>$x役に立てなくて　ゴメンよ～。	"$m0: ""Ugh... I don't think I can last much longer. Sorry I couldn't help more..."""		enemy.drooling_ghoul	independent_dialogue_existing_glossary	Independent translation from the pinned Japanese. Full eight-response set for this species; existing glossary names retained. Voice and sound effects are project dialogue choices. $x indentation replaced by measured English pages.
ally.dialogue.001.5	dialogue	1	5	$m0「あう。<CR>$xおいら　もう　残りの体力が<CR>$xぜんぜん　ないみたい……。	"$m0: ""Oof... I don't think I've got any strength left..."""		enemy.drooling_ghoul	independent_dialogue_existing_glossary	Independent translation from the pinned Japanese. Full eight-response set for this species; existing glossary names retained. Voice and sound effects are project dialogue choices. $x indentation replaced by measured English pages.
ally.dialogue.001.6	dialogue	1	6	$m0「おいら　レベルが上がったよ。<CR>$xもっともっと　がんばるよ～。	"$m0: ""I've levelled up! I'll work even harder for you!"""		enemy.drooling_ghoul	independent_dialogue_existing_glossary	Independent translation from the pinned Japanese. Full eight-response set for this species; existing glossary names retained. Voice and sound effects are project dialogue choices. $x indentation replaced by measured English pages.
ally.dialogue.001.7	dialogue	1	7	$m0「わ～い。<CR>$xレベルが　上がった～。	"$m0: ""Hooray! My level went up!"""		enemy.drooling_ghoul	independent_dialogue_existing_glossary	Independent translation from the pinned Japanese. Full eight-response set for this species; existing glossary names retained. Voice and sound effects are project dialogue choices. $x indentation replaced by measured English pages.
ally.dialogue.002.0	dialogue	2	0	$m0「うふふふふ。<CR>$x今日も　ボクのベロは<CR>$x絶好調なんだベロ～。	"$m0: ""Hee hee hee! My tongue's in tip-top shape today!"""		enemy.frolicker	independent_dialogue_existing_glossary	Independent translation from the pinned Japanese. Full eight-response set for this species; existing glossary names retained. Voice and sound effects are project dialogue choices. $x indentation replaced by measured English pages.
ally.dialogue.002.1	dialogue	2	1	$m0「ほーら　こんなに<CR>$xのびるんだよ　ボクのベロ。	"$m0: ""Look how far I can stretch my tongue!"""		enemy.frolicker	independent_dialogue_existing_glossary	Independent translation from the pinned Japanese. Full eight-response set for this species; existing glossary names retained. Voice and sound effects are project dialogue choices. $x indentation replaced by measured English pages.
