offset	english	display
00C4D5C0	Reached floor $d0	 $d0F
00C4D5D8	 dungeon cleared	 cleared
00C4D5FC	Monster nest{hex:03088c}Not cleared	
00C4D628	Monster nest{hex:03088c}Reached $d0F	
00C4D650	Barinabo mode	Barinabo: 
00C4D668	Obtained a staff with 99 charges	Got a staff with 99 charges
00C4D694	Most damage in one attack: $d0	Max damage in one hit: $d0
00C4D6C4	Ate bread that was a Cannibox at 0 fullness	Ate a Cannibox at 0 fullness
00C4D6F8	Total play time: $d0 hours $d1 minutes	Play time: $d0h $d1m
00C4D728	Read a Poof scroll	
00C4D74C	Torneko won $d0 consecutive arena bets	Torneko's winning bet streak: $d0
00C4D77C	Stored a Magic jewel box in the warehouse	Stored a Magic jewel box
00C4D7A0	Performed every mixed-item synthesis	Tried every mixed-item synthesis
00C4D7C0	Otherworld labyrinth{hex:03088c}Not cleared	
00C4D7E4	Illusion cavern{hex:03088c}Not cleared	
00C4D80C	Mysterious treasury{hex:03088c}Not cleared	
00C4D834	Sealed cavern{hex:03088c}Not cleared	
00C4D858	Recruited every monster species	
00C4D884	Fastest defeat: $d0 turns	
00C4D8A4	Obtained a shield strengthened to +99	Got a +99 shield
00C4D8CC	Obtained a weapon strengthened to +99	Got a +99 weapon
00C4D8F4	Raised an allied monster to Lv99	Raised a monster ally to Lv99
00C4D91C	Recruited a Gargoyle	
00C4D940	Defeated a Gargoyle	
00C4D960	Recruited $d0 monster species	
00C4D98C	Recruited Justice's elder brother	
00C4D9B4	Defeated Justice's elder brother	
00C4D9D8	Defeated Hell Justice	
00C4DA00	Fastest defeat: $d0 seconds	
00C4DA1C	Defeated by being turned into an item	Defeated by turning into an item
00C4DA40	Burned to death by a Flame statue	Defeated by a Flame statue's fire
00C4DA68	Crushed to death by a Big Moai statue	Crushed by a Big Moai statue
00C4DA98	A cursed Yggdrasil leaf failed to revive you	Cursed Yggdrasil leaf failed to revive
00C4DACC	Defeated by a powered-up Berserker	
00C4DAF8	Defeated by an explosion	
00C4DB1C	Hit by Magic Burst	
00C4DB38	Blown out of a dungeon by the wind	Blown out of a dungeon by wind
00C4DB64	Defeated by hunger	Starved to death
00C4DB80	Threw a Synthesis pot with a long throw	Long throw: Synthesis pot
00C4DB9C	Used a Pickaxe in synthesis	
