row	english
0	Reserved.
8	Raises attack power while equipped. Attacks always hit.
9	Raises attack power while equipped. Makes critical hits more likely.
10	Raises attack power while equipped. Makes critical hits even more likely than a Hoodlum's axe.
11	Raises attack power while equipped. Attacks all 3 squares ahead at once. Cannot be synthesized into other weapons.
12	Raises attack power while equipped. Deals extra damage to undead monsters.
13	Raises attack power while equipped. Deals extra damage to doll-type monsters.
14	Raises attack power while equipped. Deals extra damage to demon-type monsters.
15	Raises attack power while equipped. Deals extra damage to floating monsters.
16	Raises attack power while equipped. Its icy blade deals extra damage to fire-type monsters and Magmalices.
17	Raises attack power while equipped. Can dig through walls, but may break.
18	Raises attack power while equipped. Attacks monsters twice at once.
19	Raises attack power while equipped. Attacking a monster restores a little of your HP.
20	Raises attack power while equipped. Hits 2 squares in a straight line at once. Cannot be synthesized into other weapons.
21	Raises attack power while equipped. An incredibly powerful sword.
22	Raises attack power while equipped. Defeated monsters are more likely to drop items.
24	Raises attack power while equipped. The sword of a legendary hero, with immense attack power.
25	Raises attack power while equipped. Digs without breaking. This effect only survives synthesis if this is the base weapon. Part of the golden set.
26	Hits reduce a foe's HP to 1 and strengthen the sword. Misses weaken it. It breaks if too strong. Cannot be synthesized into other weapons.
27	Raises attack power while equipped. Pair with the hidden Sigil shield to seal monsters just by attacking them!
29	Raises attack power while equipped. You step back 1 square after attacking.
30	Raises attack power while equipped. Attacks may knock items away from monsters holding them.
31	Raises attack power while equipped. Deals extra damage to bomb-type monsters.
32	Raises attack power while equipped. After enough missed swings, the next attack is a critical hit that cannot miss.
33	Raises attack power while equipped. Deals extra damage to aquatic monsters.
34	Raises attack power while equipped. Each hit lowers the monster's defence.
35	Raises attack power while equipped. Defeated monsters are more likely to drop gold.
36	Raises attack power while equipped. Attacks in all 8 directions at once. Cannot be synthesized into other weapons.
37	Raises attack power while equipped. Can smash items and traps, but may break.
38	Raises attack power while equipped. Defeated monsters are more likely to drop bread.
39	Raises attack power while equipped. Starts strong, but weakens with each attack.
40	Raises attack power while equipped. Deals extra damage to invisible monsters.
41	Raises attack power while equipped. Only Tipper can use this weapon.
42	Raises attack power while equipped. Deals extra damage to aquatic monsters. Only Tipper can use this weapon.
43	Raises attack power while equipped. Claws made of gold. Only Tipper can use them.
44	Raises attack power while equipped. Monsters defeated with these claws will not join you, perhaps due to their beastly scent. Only Tipper can use them.
45	Raises attack power while equipped. Its dazzling radiance captures monsters' hearts. Only Tipper can use this weapon.
49	Raises defence while equipped. Reflects a little of the damage from monster attacks.
50	Raises defence while equipped. A shield with incredibly high defence.
51	Raises defence while equipped. Reduces damage from explosions.
52	Raises defence while equipped. Part of the golden set.
53	Raises defence while equipped. Pair with the hidden Sealing sword to seal monsters just by attacking them!
54	Raises defence while equipped. The shield of a legendary hero, with immense defence.
55	Raises defence while equipped. Starts strong, but weakens each time you are attacked.
56	Raises defence while equipped. So heavy that wearing it makes you hungry faster.
62	Raises defence while equipped. Covered in beautiful decorations.
63	This is reserved shield 2.
64	Seals monsters' special attacks.
65	Briefly turns a monster into Torneko's likeness to act as your decoy.
66	Swaps your position with a monster's.
67	Attacks monsters from a distance.
68	Slows monsters down.
69	Puts monsters to sleep for a while.
70	Confuses monsters for a while.
71	Warps monsters to another location.
72	Changes a monster into a different monster.
73	Makes monsters move faster.
74	Makes monsters invisible.
75	Carry to prevent falls; it won't work inside a pot. Its magic bolts or the staff itself knock monsters over when they hit.
76	Makes monsters split.
77	Defeats a monster in one hit. You still earn experience!
78	Halves your HP and reduces the monster's HP to 1.
79	Gives half of your HP to a monster.
80	Changes a monster into an item.
81	Warps a monster away and immobilizes it where it lands.
82	Warps a monster away and puts it to sleep where it lands.
83	Restores a monster's HP. Harms undead monsters instead.
84	Knocks monsters and items away.
85	Produces various effects when waved at monsters. Part of the golden set.
86	Produces various effects.
87	Produces various effects.
88	Makes monsters flee.
89	Lowers monsters' defence.
90	Wave at a monster to make it attack friends and foes alike for a while.
91	Turns monsters into Mimics.
92	Drains half of a monster's HP to restore your own.
93	Reveals a monster's true identity.
94	Makes monsters' attacks miss completely.
95	Used differently from other staves. Place an herb underfoot and wave the staff to fire a magic bolt carrying that herb's effect.
96	Used differently from other staves. Place an herb underfoot and wave the staff. A magic bolt carrying the herb's effect flies towards you from afar.
97	Digs through many walls at once. Cannot dig diagonally.
98	Enrages monsters.
99	Launches you to the place the bolt hits.
100	Lights up the entire floor for a while.
101	Immobilizes monsters.
102	Warps a monster near the stairs and immobilizes it.
103	Wave at a monster to make it share the pain when you take damage.
104	Pulls monsters and items towards you.
105	Creates pillars of fire.
106	Cures various conditions affecting monsters.
107	Reduces a monster's HP to a quarter.
108	Creates pillars of ice. Freezes monsters it hits.
109	Creates pillars of sand.
110	Creates wind. Anything entering the wind gets blown away.
111	A mysterious staff born from many powers combined. Deals tremendous damage.
112	One of Rosa's treasures.
113	Reserved staff 2.
114	Reserved staff 3.
115	Attacks monsters from afar, even through walls. One of Rosa's treasures. Equip and press L to fire.
116	Attacks monsters from afar. Equip and press L to fire.
117	Attacks monsters from afar. Equip and press L to fire.
118	Attacks monsters from afar, even through walls. Equip and press L to fire.
119	Attacks monsters from afar. On a hit, confuses the monster and pulls it towards you. Equip and press L to fire.
120	Attacks monsters from afar. Remains intact after hitting a monster. Equip and press L to fire.
121	Attacks monsters from afar and lowers their strength. Equip and press L to fire.
122	Attacks monsters from afar. Equip and press L to fire. Part of the golden set.
123	Attacks monsters from afar. Rarely hits, but a hit defeats a monster instantly. Equip and press L to fire.
124	Attacks monsters from afar and knocks them back on a hit. Equip and press L to fire.
125	Attacks monsters from afar. Critical hits are more likely. Equip and press L to fire.
126	Attacks monsters from afar. Splits into 5 directions and flies without limit. Equip and press L to fire.
127	Reserved arrow 1. Let's hope it stays unused.
128	Lets you aim at and attack a monster 1 square away.
129	Flies towards a nearby monster.
130	Lets you aim at and attack a monster 2 squares away.
131	A rock launched by a Rock-throw statue.
132	Rolls along and explodes when it hits a monster or wall.
133	Lets you walk on water.
134	Lets you haggle when buying items from dungeon shops.
135	Speeds up HP recovery, but also makes you hungry faster.
136	Prevents your equipped weapon and shield from deteriorating.
137	Makes critical hits more likely.
138	Makes you suffer brutal critical hits.
139	Protects against curse attacks from monsters.
