id	japanese	english	display	notes
item-display.00c4c820	他:	Other: 		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c824	像:	Statue: 		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c828	パ:	Bread: 		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c82c	草:	Herb: 		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c830	壺:	Pot: 		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c834	巻:	Scroll: 		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c838	輪:	Ring: 		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c83c	玉:	Ball: 		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c840	石:	Stone: 		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c844	矢:	Arrow: 		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c848	杖:	Staff: 		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c84c	盾:	Shield: 		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c850	爪:	Claws: 		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c854	剣:	Sword: 		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c858	？？？？	????		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c87c	%d個の%s	%d x %s	%dx %s	Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c884	%d本の%s	%d x %s	%dx %s	Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c88c	%d発の%s	%d x %s	%dx %s	Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c8a4	モンスターの跡	Monster tracks		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
item-display.00c4c8b4	%sの墓	Grave of %s		Independent translation of the pinned Japanese item formatter. Category labels describe the original item class, not a new named item. Counts use a quantity marker so full singular glossary item names stay unchanged. Native quantity/charge/price/custom-name layout is checked separately.
