id	family	rows	japanese	english	display	full_width_px	display_width_px	status	reference_game	source_urls	notes
interface.dungeon.000	dungeon	0,32	謎のほら穴	Mysterious cave	Mysterious cave	76	76	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.001	dungeon	1,33	いざないの洞くつ	Beckoning cavern	Beckoning cavern	80	80	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.002	dungeon	2,34	南海の地下道	South Sea tunnel	South Sea tunnel	81	81	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.003	dungeon	3,35	さんご礁の神殿　広間	Coral temple - Hall	Coral temple - Hall	95	95	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.004	dungeon	4,36	さんご礁の神殿　回廊	Coral temple - Corridors	Coral corridors	121	73	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Full English name retained. Display abbreviation fits the native 120-pixel header, including the numbered puzzle suffix.
interface.dungeon.005	dungeon	5,37	海底山地　ふもと	Seabed mountain - Foothills	Seabed foothills	135	76	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Full English name retained. Display abbreviation fits the native 120-pixel header, including the numbered puzzle suffix.
interface.dungeon.006	dungeon	6,38	海竜島の遺跡	Sea Dragon Isle ruins	Sea Dragon ruins	105	82	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Full English name retained. Display abbreviation fits the native 120-pixel header, including the numbered puzzle suffix.
interface.dungeon.007	dungeon	7,39	化石のほら穴	Fossil cave	Fossil cave	53	53	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.008	dungeon	8,40	灯台の地下室	Lighthouse basement	Lighthouse basement	97	97	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.009	dungeon	9,41	遺跡の大空洞　南	Great Ruins cavern - South	Ruins cavern - S	135	83	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Full English name retained. Display abbreviation fits the native 120-pixel header, including the numbered puzzle suffix.
interface.dungeon.010	dungeon	10,42	遺跡の大空洞　北	Great Ruins cavern - North	Ruins cavern - N	135	83	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Full English name retained. Display abbreviation fits the native 120-pixel header, including the numbered puzzle suffix.
interface.dungeon.011	dungeon	11,43	山脈の尾根	Mountain ridge	Mountain ridge	69	69	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.012	dungeon	12,44	魔物のほら穴	Monster cave	Monster cave	63	63	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.013	dungeon	13,45	神々の道	Path of the gods	Path of the gods	82	82	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.014	dungeon	14,46	密林の墓場	Jungle graveyard	Jungle graveyard	80	80	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.015	dungeon	15,47	密林島のほら穴	Jungle Island cave	Jungle Island cave	88	88	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.016	dungeon	16,48	密林島の発掘場	Jungle Island dig site	Jungle dig site	103	69	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Full English name retained. Display abbreviation fits the native 120-pixel header, including the numbered puzzle suffix.
interface.dungeon.017	dungeon	17,49	邪悪な風穴	Evil wind cave	Evil wind cave	68	68	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.018	dungeon	18	異世界の迷宮	Otherworld labyrinth	Otherworld labyrinth	98	98	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.019	dungeon	19,51	暗黒の間	Dark chamber	Dark chamber	65	65	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.020	dungeon	20	封印の洞くつ	Sealed cavern	Sealed cavern	66	66	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.021	dungeon	21	不思議の宝物庫	Mysterious treasury	Mysterious treasury	96	96	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.022	dungeon	22,54	試練の道	Path of trials	Path of trials	69	69	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
interface.dungeon.023	dungeon	23,55	海底山地　山頂部	Seabed mountain - Summit	Seabed summit	128	69	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed. Full English name retained. Display abbreviation fits the native 120-pixel header, including the numbered puzzle suffix.
interface.dungeon.024	dungeon	24,56	孤島のほら穴	Distant Isle cave	Distant Isle cave	84	84	project_translation	Torneko 3 Advance Japanese original; independent project English		Independent translation from the Japanese original. Project wording; no verified official English equivalent claimed.
