id	japanese	english	display	references	notes
frontend.00c4cd30	*いいえ	*No			Independent translation from the pinned Japanese. Existing Adventure Log, mode, character and dungeon identities are reused. Adventure records refers to the separate history/high-score profile. Earlier pointer owners and unreviewed high data-table references remain unchanged.
frontend.00c4cd38	はい	Yes			Independent translation from the pinned Japanese. Existing Adventure Log, mode, character and dungeon identities are reused. Adventure records refers to the separate history/high-score profile. Earlier pointer owners and unreviewed high data-table references remain unchanged.
frontend.00c4cd98	バリナボチャレンジモード	Barinabo Challenge mode			Independent translation from the pinned Japanese. Existing Adventure Log, mode, character and dungeon identities are reused. Adventure records refers to the separate history/high-score profile. Earlier pointer owners and unreviewed high data-table references remain unchanged.
frontend.00c4ce90	%d回目	Adventure %d	Trip %d		Independent translation from the pinned Japanese. Existing Adventure Log, mode, character and dungeon identities are reused. Adventure records refers to the separate history/high-score profile. Earlier pointer owners and unreviewed high data-table references remain unchanged. Full summary wording is retained beside its compact display; original argument order/types and native field bounds are preserved.
frontend.00c4cea4	"このカートリッジのバックアップデータを
完全に消去してしまいます。
よろしいですか？"	"This will completely erase all backup data on this cartridge.
Are you sure?"			Independent translation from the pinned Japanese. Existing Adventure Log, mode, character and dungeon identities are reused. Adventure records refers to the separate history/high-score profile. Earlier pointer owners and unreviewed high data-table references remain unchanged.
frontend.00c4cef8	バックアップデータ消去中……	Erasing backup data...			Independent translation from the pinned Japanese. Existing Adventure Log, mode, character and dungeon identities are reused. Adventure records refers to the separate history/high-score profile. Earlier pointer owners and unreviewed high data-table references remain unchanged.
frontend.00c4cf18	消去がおわりました	Erasure complete.			Independent translation from the pinned Japanese. Existing Adventure Log, mode, character and dungeon identities are reused. Adventure records refers to the separate history/high-score profile. Earlier pointer owners and unreviewed high data-table references remain unchanged.
frontend.00c4cf2c	"冒険の書$j0を更新しています……
電源を切らないでください。"	"Updating Adventure Log $j0...
Do not turn off the power."		adventure_log	Independent translation from the pinned Japanese. Existing Adventure Log, mode, character and dungeon identities are reused. Adventure records refers to the separate history/high-score profile. Earlier pointer owners and unreviewed high data-table references remain unchanged.
frontend.00c78298	*デバッグ	*Debug			Independent translation from the pinned Japanese. Existing Adventure Log, mode, character and dungeon identities are reused. Adventure records refers to the separate history/high-score profile. Earlier pointer owners and unreviewed high data-table references remain unchanged.
frontend.00c782b0	冒険の記録	Adventure records			Independent translation from the pinned Japanese. Existing Adventure Log, mode, character and dungeon identities are reused. Adventure records refers to the separate history/high-score profile. Earlier pointer owners and unreviewed high data-table references remain unchanged.
frontend.00c78358	"冒険の書$j0を使って
「トルネコの大冒険３アドバンス」
[エクストラモード]を始めます。"	Begin Torneko's Great Adventure 3 Advance in [Extra mode] using Adventure Log $j0.		adventure_log	Independent translation from the pinned Japanese. Existing Adventure Log, mode, character and dungeon identities are reused. Adventure records refers to the separate history/high-score profile. Earlier pointer owners and unreviewed high data-table references remain unchanged.
