id	family	japanese	full_english	display	glossary_references	wording_status	notes
tutorial.001b47ea	tutorial	装備すると攻撃力が上がるぞ。<CR>$wＢボタンでメニューを開き<CR>「道具」コマンドで装備しよう！<CR>	Equip this to raise Attack!$wPress B to open the menu, then choose Items to equip it.		interface.action.005,interface.action.027	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage. Retain the single $w pause between explanation and instructions.
tutorial.001b4839	tutorial	これを食べるとお腹がふくれるぞ。<CR>$wお腹が減ったら<CR>Ｂボタンでメニューを開き<CR>「食べる」コマンドで食べよう！	Eat this to restore fullness!$wWhen hungry, press B to open the menu and choose Eat.		fullness,interface.action.034	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage. Retain the single $w pause between explanation and instructions.
tutorial.001b4891	tutorial	装備すると攻撃力が上がるぞ。<CR>$wＢボタンでメニューを開き<CR>「道具」コマンドで装備しよう！<CR>	Equip this to raise Attack!$wPress B to open the menu, then choose Items to equip it.		interface.action.005,interface.action.027	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage. Retain the single $w pause between explanation and instructions.
tutorial.001b48e0	tutorial	装備すると防御力が上がるぞ。<CR>$wＢボタンでメニューを開き<CR>「道具」コマンドで装備しよう！<CR>	Equip this to raise Defence!$wPress B to open the menu, then choose Items to equip it.		defence,interface.action.027	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage. Retain the single $w pause between explanation and instructions.
tutorial.001b492f	tutorial	「押す」とHPを回復できるぞ。<CR>$wHPが減ってしまったら<CR>Ｂボタンでメニューを開き<CR>「道具」コマンドで使っておこう！	Choose Press to restore HP!$wWhen HP is low, press B to open the menu and use it from Items.		hp	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage. Retain the single $w pause between explanation and instructions.
tutorial.001b498d	tutorial	これを飲むと　となりに火を吐いて<CR>攻撃することができるぞ！<CR>$wＳＴＡＲＴボタンや十字ボタンを押して<CR>モンスターの方向を向いてから飲もう！	Drink this to breathe fire at an adjacent monster!$wFace the monster with START or the +Control Pad, then drink it.		interface.action.033	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage. Retain the single $w pause between explanation and instructions.
tutorial.001b49f5	tutorial	これをモンスターに投げ当てると<CR>眠らせることができるぞ！<CR>$wＳＴＡＲＴボタンや十字ボタンを押して<CR>モンスターの方向を向いてから投げよう！	Throw this at a monster to put it to sleep!$wFace the monster with START or the +Control Pad, then throw it.			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage. Retain the single $w pause between explanation and instructions.
tutorial.001b4a61	tutorial	これを飲むと　いっしゅんで違う場所に<CR>移動できるぞ！<CR>$wモンスターにかこまれてしまったときは<CR>これを飲んで逃げよう！	Drink this to warp to another spot instantly!$wDrink it to escape when monsters surround you!		interface.action.033	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage. Retain the single $w pause between explanation and instructions.
tutorial.001b4ab5	tutorial	これを飲むと　毒で減ったちからを<CR>回復できるぞ！<CR>$wちからが減ったら飲んでおくといいぞ！	Drink this to restore strength lost to poison!$wUse it when your strength has fallen.		interface.action.033	project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage. Retain the single $w pause between explanation and instructions.
tutorial.001b5021	joined_damage	痛恨の一撃！$m0から	Brutal blow! $m0:			project_prose_existing_glossary_stems	Independently translated from the pinned Japanese. Existing glossary identities reused; gameplay/effect prose is project wording. Native queue/history limits checked separately from natural scenario coverage. Leading ! is a history continuation control, never a visible exclamation mark.
