row	english
0	Cedar staff
1	Pine staff
2	Persimmon staff
3	Willow staff
4	Cherry staff
5	Cypress staff
6	Mulberry staff
7	Paulownia staff
8	Plum staff
9	Chestnut staff
10	Pear staff
11	Kaede staff
12	Camellia staff
13	Evergreen oak staff
14	Ginkgo staff
15	Beech staff
16	Peach staff
17	Momiji staff
18	Palm staff
19	Stone staff
20	Iron staff
21	Gold staff
22	Silver staff
23	Copper staff
24	Steel staff
25	Glass staff
26	Poplar staff
27	Platinum staff
28	Crystal staff
29	Lead staff
30	Titanium staff
31	Aluminium staff
32	Charcoal staff
33	Aodamo staff
34	Ramin staff
35	Teak staff
36	Karin staff
37	Birch staff
38	Katsura staff
39	Manchurian ash staff
40	Shioji staff
41	Mizume staff
42	Rowan staff
43	Rubber staff
44	Oak staff
45	Terminalia staff
46	Elm staff
47	Alder staff
48	Regan staff
49	Perupok staff
50	Maple staff
51	Lauan staff
52	Pyrope ring
53	Amethyst ring
54	Aquamarine ring
55	Diamond ring
56	Emerald ring
57	Pearl ring
58	Moonstone ring
59	Ruby ring
60	Peridot ring
61	Sapphire ring
62	Tourmaline ring
63	Opal ring
64	Topaz ring
65	Citrine ring
66	Turquoise ring
67	Zircon ring
68	Amber ring
69	Agate ring
70	Onyx ring
71	Jade ring
72	Malachite ring
73	Menou ring
74	Lapis lazuli ring
75	Labradorite ring
76	Tanzanite ring
77	Hematite ring
78	Chrysoberyl ring
79	Rhodonite ring
80	Spinel ring
81	Diopside ring
82	Spodumene ring
83	Andalusite ring
84	Nephrite ring
85	Inca rose ring
86	Morganite ring
87	Serpentine ring
88	Coral ring
89	Rose quartz ring
90	Amazonite ring
91	Obsidian ring
92	Calcite ring
93	Glass ring
94	Plastic ring
95	Fluorite ring
96	Chrysocolla ring
97	Sphene ring
98	Wulfenite ring
99	Azurite ring
100	Kyanite ring
101	Axinite ring
102	Kornerupine ring
103	Enstatite ring
104	Apatite ring
105	Sanidine ring
106	Leucite ring
107	Moissanite ring
108	Mandarin garnet ring
109	Hessonite ring
110	Almandine ring
111	Demantoid ring
112	Giraffe scroll
113	Cat scroll
114	Tiger scroll
115	Mouse scroll
116	Dog scroll
117	Monkey scroll
118	Raccoon dog scroll
119	Fox scroll
120	Eagle scroll
121	Crow scroll
122	Sparrow scroll
123	Snake scroll
124	Hippo scroll
125	Bear scroll
126	Rhino scroll
127	Elephant scroll
128	Panda scroll
129	Koala scroll
130	Rabbit scroll
131	Cow scroll
132	Horse scroll
133	Sheep scroll
134	Goat scroll
135	Pig scroll
136	Deer scroll
137	Pheasant scroll
138	Camel scroll
139	Donkey scroll
140	Pigeon scroll
141	Mole scroll
142	Hawk scroll
143	Lizard scroll
144	Dolphin scroll
145	Whale scroll
146	Leopard scroll
147	Sea otter scroll
148	Sea lion scroll
149	Chicken scroll
150	Orca scroll
151	Kappa scroll
152	Ostrich scroll
153	Flying squirrel scroll
154	Squirrel scroll
155	Gorilla scroll
156	Seagull scroll
157	Lion scroll
158	Dhole scroll
159	Turtle scroll
160	Penguin scroll
161	Owl scroll
162	Wolf scroll
163	Steller sea lion scroll
164	Shark scroll
165	Kite scroll
166	Quail scroll
167	Tapir scroll
168	Weasel scroll
169	Bat scroll
170	Swallow scroll
171	Otter scroll
172	Narrow pot
173	Round pot
174	Square pot
175	Twisted pot
176	Hard pot
177	Suspicious pot
178	Oval pot
179	Triangular pot
180	Star-shaped pot
181	Egg-shaped pot
182	Shallow pot
183	Deep pot
184	Half-moon pot
185	Crescent pot
186	Tilted pot
187	Warped pot
188	Waisted pot
189	Gourd-shaped pot
190	Bumpy pot
191	Diamond-shaped pot
192	Daruma pot
193	Trapezoid pot
194	Tapered pot
195	Rough pot
196	Long pot
197	Costly-looking pot
198	Pointed pot
199	Old-fashioned pot
200	Cute pot
201	Red herb
202	Blue herb
203	Yellow herb
204	Green herb
205	White herb
206	Purple herb
207	Brown herb
208	Grey herb
209	Light blue herb
210	Yellow-green herb
211	Kasshoku herb
212	Golden herb
213	Red-and-white herb
214	Peach herb
215	Sky blue herb
216	Lavender herb
217	Navy herb
218	Earth brown herb
219	Ultramarine herb
220	Orange herb
221	Pink herb
222	Lemon yellow herb
223	Iridescent herb
224	Dark brown herb
225	Crimson herb
226	Rose herb
227	Golden yellow herb
228	Ochre herb
229	Pale green herb
230	Cream herb
231	Beige herb
232	Scarlet herb
233	Rainbow herb
234	Warm bread
235	Soft bread
236	Moist bread
237	Plump bread
238	Tasty-looking bread
239	Fresh-baked bread
240	Fluffy bread
241	Golden-brown bread
242	Fragrant bread
243	Hard-looking bread
244	Chewy bread
245	Mellow bread
