row	japanese	english	status	reference_game	source	note
0	なし	None	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
1	こんぼう	Oaken club	modern_official_name_secondary_evidence	Dragon Quest VIII / IX	https://dragon-quest.org/wiki/Oaken_club	Use in the name and synthesis heading. Torneko 3 deterioration immunity comes from its Japanese description.
2	金の剣	Gold sword	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
3	銅の剣	Copper sword	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Copper_sword	
4	鉄の斧	Iron axe	modern_official_name_secondary_evidence	Dragon Quest VIII / IX	https://dragon-quest.org/wiki/Iron_axe	Modern series fallback; not attributed to XI.
5	ドラゴンキラー	Dragonsbane	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Dragonsbane_(Weapon)	Use the XI baseline name for this identity. Keep the Torneko 3 fire-type target; do not import XI dragon-family mechanics or a different weapon-form name.
6	はぐれメタルの剣	Liquid metal sword	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Liquid_metal_sword	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
7	せいぎのそろばん	Astraea's abacus	modern_official_name_secondary_evidence	Dragon Quest II / III HD-2D Remake	https://dragon-quest.org/wiki/Astraea%27s_abacus	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
8	必中の剣	Surestrike sword	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
9	エリミネーターの斧	Hoodlum's axe	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
10	デスストーカーの斧	Heavy hood's axe	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
11	妖剣かまいたち	Kamaitachi blade	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
12	ゾンビキラー	Zombiesbane	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Zombiesbane_(Weapon)	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
13	ドールクラッシャー	Doll crusher	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
14	デーモンバスター	Demonsbane	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Demonsbane_(Weapon)	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
15	ウィンドスピアー	Wind spear	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
16	アイスソード	Ice sword	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
17	つるはし	Pickaxe	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
18	はやぶさの剣	Falcon blade	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Falcon_blade	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
19	奇跡の剣	Miracle sword	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Miracle_sword	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
20	ストレイトソード	Straight sword	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
21	メタルキングの剣	Metal king sword	modern_official_name_secondary_evidence	Dragon Quest XI	https://dragon-quest.org/wiki/Metal_king_sword	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
22	ベビーフォーク	Imp fork	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
23	鋼鉄の剣	Steel broadsword	modern_official_name_secondary_evidence	Dragon Quest IX	https://dragon-quest.org/wiki/Steel_broadsword	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text. T3 label 鋼鉄の剣 is read はがねのつるぎ in its description; uses the IX one-handed weapon, not a different XI greatsword.
24	ロトの剣	Erdrick's sword	modern_official_name_secondary_evidence	Dragon Quest I / II HD-2D Remake	https://dragon-quest.org/wiki/Erdrick%27s_Sword	Exact Japanese item identity, allowing documented kana/kanji spelling differences. Torneko 3 effects come only from its original text.
25	黄金のつるはし	Golden pickaxe	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
26	ライフドレイン	Life drain	project_choice_provisional			Independent Torneko 3 item name. No exact modern official counterpart established in this pass; this is not a claim that none exists.
