offset	english
009C2264	Tessie: "Perhaps the chief knows something. Please go and speak to him, dear."
009C22C8	Tessie: "But Tipper is still asleep... Something must be wrong."
009C2324	Tessie: "Sleeping changed nothing. So this really is not a dream."
009C2380	Tessie: "Oh! You are awake too!"
009C23B8	Tessie: "Perhaps the chief knows something. Please go and speak to him, dear."
009C258C	Tessie: "After all, you once saved the whole world."
009C25C4	Tessie: "But I believe in you. Whatever happens, I know you will save us."
009C2620	Tessie: "Perhaps that strange dream Tipper had was about the storm."
009C2680	Tessie: "You know, dear... I have a feeling this was no ordinary accident."
009C26D8	Tessie: "Goodness... But he will think about how to help Tipper too?"
009C2724	Tessie: "What? The statue at the northern shrine fell, and the chief went to see it?"
009C28F4	Chief: "Take a little time to think. You might wish to speak with my grandchildren."
009C294C	Chief: "Forgive me for asking again, Torneko. Will you truly take my grandson Rosa?"
009C29B8	Chief: "As I promised yesterday, I shall entrust my grandchild to you."
009C29F8	Chief: "Travel carefully. When you find somewhere to rest, take the chance to do so."
009C2A6C	Chief: "You will have to pass through many caves to reach the island far to the north."
009C2AD4	Chief: "Even seasoned explorers lose their way. And now, monsters have likely entered."
009C2B34	Chief: "The underground route north is a strange cave. Its magic reshapes it each visit."
009C2BA4	Chief: "Before you set off for the northern shrine, there is something you should know."
009C2C04	Chief: "You had not come to my house, so I thought I would visit you here."
009C2C5C	Chief: "Ah, Torneko. Yesterday must have been quite tiring for you."
009C2CA8	Tessie: "Oh, you are awake! The chief and his grandchildren have just arrived."
009C2D60	Tessie: "Oh, goodness! What am I saying? Pay no attention to me, dear."
009C2DB4	Tessie: "Ines is such a beautiful, charming young lady, isn't she?"
009C2F40	Chief: "Yes. That would be best."
009C2F6C	Chief: "Well, Torneko? Will you take my granddaughter Ines instead of Rosa after all?"
009C2FD0	Chief: "I would be grateful for him to learn by travelling with you, of course..."
009C3038	Chief: "Grandson or not, I must admit that Rosa is terribly lazy."
009C30A0	Ines: "For your own safety, Torneko, you should be careful not to touch Rosa's things."
009C30F8	Ines: "The other day, Nanny touched his things while cleaning. He flew into a rage!"
009C3160	Ines: "Rosa acts so grown-up, but he is rather spoiled and childish underneath."
009C31E4	Rosa: "So you'll have to carry less of your own stuff, Torneko. I'm counting on you!"
009C3234	Rosa: "By the way, I always bring my treasures along when I travel."
009C328C	Rosa: "Taking me on a trip this important? You've got a good eye for talent!"
009C3464	Chief: "Take care, then. May the god of Barinabo watch over you."
009C34B0	Chief: "I hear you can view the map while in town by pressing the START Button."
009C3508	Chief: "It does not show the whole world, but it should help you on your journey."
009C3560	Torneko obtained a map!
009C3580	The chief took out an old map.
009C35AC	Chief: "Ah, yes! Take this map as well. It has been passed down through my family."
009C3600	Chief: "Well then, Torneko. Do take care."
009C3638	Ines joined the party!
009C3658	Ines: "I look forward to travelling with you, Torneko!"
009C368C	Ines: "Yes, Grandfather!"
009C36A8	Chief: "Now, Ines. Be sure to give Torneko all the help you can."
009C38D8	Tessie: "I have a feeling this will be your longest journey yet..."
009C3920	Tessie: "If you see a church or a priest along the way, remember to stop and pray."
009C3970	Tessie: "I know you can take care of yourself... Just do not push yourself too hard."
009C39C4	Tessie: "Off you go, dear. Tipper and I will be waiting for you."
009C3A10	Tessie: "You must be carrying lots of things more important than bread."
009C3A64	Tessie: "Oh? Your bag seems to be full. What a shame."
009C3AB0	Tessie: "Eat it if you get hungry in the caves."
009C3AE8	Tessie: "Take this bread for lunch. I baked it this morning in our neighbour's oven."
009C3B58	Tessie: "Please do not overdo it. If you see a church or a priest, remember to pray."
009C3BB4	Tessie: "So you are leaving at last. I know you can take care of yourself, but..."
009C3C88	Rosa: "Heh heh, just kidding! Come on, shouldn't we hurry to the northern shrine?"
009C3CE8	Rosa: "Wow, he really is still asleep. I wouldn't mind trading places with him..."
009C3D4C	Ines: "He really will not wake up... How worrying. Let us hurry to the northern shrine."
009C3F54	Rosa: "Come on, let's go!"
009C3F70	Rosa joined the party!
009C3F90	Rosa: "Heh! Good to be with you, Torneko. Let's have some fun!"
009C3FCC	Rosa: "Yeeees, sir!"
009C3FE0	Chief: "Now, Rosa! Be sure to give Torneko all the help you can!"
009C402C	Chief: "I see... If you insist, I shall let Rosa accompany you."
009C4648	Tessie: "Tipper and I will be waiting. Take care, dear. Mwah!"
009C4698	Tessie: "Here, some lovely fresh bread. Take it with you for lunch."
009C46E0	Tessie: "Good morning, dear. You seem to have slept well. Hee hee."
009C4720	Tessie: "Let us get some sleep with Tipper, then. Good night, dear..."
009C4770	Tessie: "My, you have plenty of energy! Let me know when you feel like resting."
009C47B0	Tessie: "Can you take it easy tonight, dear? Are you ready for bed?"
009CDA68	???: "Might as well settle down here now. I'll teach you how to fish."
009CDACC	???: "You've landed in a fine mess, haven't you? Mind you, so have we."
009CDB60	???: "Hooray! The traveller came to play at our house!"
009CDBF8	Rosa: "Still as cheeky as ever, old man! You wouldn't say that if you knew my true power."
009CDC68	???: "Well, Master Rosa! Helping the traveller, are you? What brought this on?"
009CDCC4	???: "You look awfully pleased with yourself, Torneko. You're not fooling me!"
009CDD24	???: "Well, Miss Ines! You're looking lovelier than ever."
009CDE68	???: "That boy in the other house is such a show-off!"
009CDEA0	???: "Nobody to play with... I'm so bored!"
009CDF38	???: "Here you are, dear. Dinner's weady! Eat up!"
009CDFDC	???: "Here you are, dear. Don't weave anything on your plate! Eat up!"
009D5660	Chief: "Small as this island is, it is dangerous to wander outside the village."
009D56A8	Chief: "Ah, no... Ahem! Stay here and rest until we find some way to help you."
009D5710	Chief: "What was that storm? In all our village's history, only once before has..."
009D5774	Chief: "With your ship swept away, you cannot leave this island... Hmm."
009D57C4	Chief: "You have been through quite an ordeal..."
009D5800	Chief: "Please, sit down here in front of me."
009D5834	Chief: "Ah, Torneko! Forgive me for sending for you so early."
009D5930	Ines: "If there is anything I can do to help, please feel free to ask."
009D5994	???: "Pleased to meet you, traveller. I am Ines, the chief's granddaughter."
