id	current_source_address	template_LF_escaped	missed_join_in_fixture	decorated_name_hex
gameplay.001b4e23	0x900e718	$m0 gained\n$d0 XP.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b4e38	0x900e72c	$m1 was defeated.\n$m0 gained\n$d0 XP.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b4e7b	0x900e77c	$m0 reached level\n$d0.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b4dac	0x900e67c	$m1 took $d0\ndamage.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6d7d	0x9013954	$m0 took $d0\ndamage.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6d93	0x901396c	$m1 took $d0\ndamage.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
prose-review.tutorial.001b507e	0x911f28c	!$m1 took\n$d0 damage.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
prose-review.tutorial.001b507e.continuation	0x911f28d	$m1 took\n$d0 damage.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b4d95	0x900e660	Dealt $d0 damage to\n$m1.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b40c2	0x900de64	Nothing happened to\n$m2.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b4b65	0x900e34c	$m1 burrowed\nunderground and fled.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b4df1	0x900e6d8	A critical hit! Dealt $d0 damage\nto $m1.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5292	0x900e904	$m0's leaky belly was\ncured!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b566f	0x900edac	$i0 hit\n$m0.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5774	0x900eee4	$m1 didn't fall\nasleep.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5796	0x900ef10	$m1 is already\nasleep!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b58b9	0x900f058	$m0 can no longer\nmove.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b58ca	0x900f070	$m0 was severely\nparalysed!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b58e2	0x900f08c	$m1 is still severely\nparalysed.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b58fa	0x911f3dc	$m0 is now under\nordinary paralysis.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5913	0x900f0dc	$m0 is no longer\nconfused.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b595a	0x900f134	$m0 is no longer\nfrightened.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b596d	0x900f154	$m0 is free from the\ndance.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5982	0x900f170	$m0 is no longer\nangry.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b59a8	0x911f404	$m0 came to their\nsenses.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b59b8	0x900f1b4	$m0's wakefulness\nwore off.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b59d3	0x900f1d0	$m0 is no longer\nberserk.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b59f2	0x900f1ec	$m0 is no longer\nmade of iron.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5a09	0x900f20c	$m0's whiffing wore\noff.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5a20	0x900f228	Herbs affect $m0\nnormally again.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5a34	0x900f24c	$m0 fired\n$i0.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5a4a	0x900f25c	$m0 threw\n$i0.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5a60	0x900f26c	$m0 spat out\n$i0.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5a75	0x900f280	$m1 didn't become\nconfused.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5a95	0x900f2b4	$m1 is already\nconfused!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5aa9	0x900f2d0	$m1 became\nfrightened!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5ab9	0x900f2e8	$m1 is already\nfrightened!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5acc	0x900f304	$m1 recovered\n$d0 HP.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5ae1	0x900f31c	$m1's maximum HP\nrose by $d0.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
gameplay.001b5af8	0x900f33c	$m1's HP was fully\nrestored.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b5038	0x911f244	!Critical hit! $m1\ntook $d0 damage.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b505b	0x911f268	!Brutal blow! $m1\ntook $d0 damage.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b50b1	0x9012be0	$m0 waits and\nwatches...	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b5b85	0x9012d20	$m0's strength was\nhalved.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b5bab	0x9012d54	$m0's strength fell\ngreatly!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6002	0x9012d88	$i3 cancelled\n$m0's magic!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b68c6	0x911f2a4	$m0 performed Weird\nDance!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6965	0x90133cc	$m1's maximum\nstrength fell by $d0.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6982	0x90133f0	$m1's strength was\nhalved.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6995	0x901340c	$m1's strength\ncannot fall any further!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6a10	0x90134c4	$m1's maximum HP\nfell by $d0.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6a4c	0x9013510	$m1's HP cannot fall\nany further!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6a85	0x9013564	$m0 fired an\nabsorption beam.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6a9a	0x9013584	$m0 fired an\nabsorption beam.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6b06	0x911f2c0	$m0 used Harvest\nMoon!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6b42	0x9013648	$m0 called for\nmonsters!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6c19	0x911f2ec	$m0 tried to knock\nequipment away!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6c2b	0x911f310	$m0 tried to knock\nitems away!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6c41	0x911f330	$m0 tried to knock\nitems away!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6ca1	0x901382c	$m1 is already\ninvisible.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6cd6	0x9013878	$m0 and\n$m1 swapped places.	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6cec	0x9013894	$m0 cannot be\nswapped!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
tutorial.001b6cff	0x90138ac	$m0 cannot be\nswapped!	True	030505476f6f74314c763939030600 / 030505476f6f7431030600
