row	full_english	display
0	Torneko	Torko
1	Smogul	Smogu
2	Berobay	Bero
3	Merc	Merc
4	Bubbles	Bubbs
5	Sloth	Sloth
6	Biggs	Biggs
7	Maddon	Maddy
8	Braban	Brab
9	Wingsage	Wingo
10	Hael	Hael
11	Lily	Lily
12	Arlon	Arlon
13	Doc	Doc
14	Sniper	Snipe
15	Mason	Mason
16	Strom	Strom
17	Goldon	Goldo
18	Healie	Healy
19	Curetis	Curet
20	Sybil	Sybil
21	Gootrude	Gooty
22	Bester	Besty
23	Metalan	Metty
24	Onion	Onion
25	Tamakichi	Tama
26	Bilpo	Bilpo
27	Yogajin	Yogi
28	Hyoma	Hyoma
29	Michael	Mikey
30	Shinas	Shina
31	Sharma	Sharm
32	Zoma	Zoma
33	Omen	Omen
34	Speck	Speck
35	Jack	Jack
36	Bombas	Bomba
37	Trolkin	Trolk
38	Hork	Hork
39	John	John
40	Gurka	Gurka
41	Doredore	Dory
42	Dora	Dora
43	Keith	Keith
44	Darth	Darth
45	Bones	Bones
46	Ryoki	Ryoki
47	Black	Black
48	Silva	Silva
49	Bazoo	Bazoo
50	David	David
51	Giggles	Giggs
52	Gumdrops	Gumbo
53	Mush	Mush
54	Matagon	Mata
55	Magitan	Magi
56	Wiz	Wiz
57	Wise	Wise
58	Beatan	Beaty
59	Thamthon	Tham
60	Miria	Miria
61	Mister	Misty
62	Ishy	Ishy
63	Dorosuke	Doro
64	Petton	Petto
65	Mimmy	Mimmy
66	Boxel	Boxel
67	Bers	Bers
68	Vlad	Vlad
69	Tappo	Tappo
70	Rakima	Raki
71	Jade	Jade
72	Ayaka	Ayaka
73	Carron	Caro
74	Madras	Madra
75	Tenten	Tenty
76	Sutten	Sutty
77	Totetsu	Totty
78	Izumon	Izzy
79	Squall	Squal
80	Roborg	Robby
81	Melter	Melty
82	Kindo	Kindo
83	Gates	Gates
84	Dorurun	Doru
85	Arkan	Arkan
86	Helsey	Helsy
87	Ishizo	Ishi
88	Imagine	Imagi
89	Baksan	Bax
90	Garro	Garro
91	Kororin	Koro
92	Hoody	Hoody
93	Destan	Desta
94	Monja	Monja
95	Melmon	Melmo
96	Namel	Namel
97	Ramios	Rami
98	Carmen	Carmy
99	Kime	Kime
100	Stacky	Stack
101	Mekira	Meki
102	Samaro	Sammy
103	Arman	Arman
104	Helmer	Helmy
105	Brontes	Bront
106	Atom	Atom
107	Adieu	Adieu
108	Berry	Berry
109	Mallette	Mally
110	Branny	Bran
111	Ganny	Ganny
112	Hassam	Hassy
113	Gurunga	Guru
114	Norton	Norty
115	Mest	Mest
116	Heltos	Helto
117	Annan	Annan
118	Gunta	Gunta
119	Lariat	Lari
120	Keaton	Keat
121	Yoji	Yoji
122	Fara	Fara
123	Mocomon	Moco
124	Atal	Atal
125	Randall	Randy
126	Guile	Guile
127	Moston	Mosty
128	Shaito	Shai
129	Goslam	Gosly
130	Emper	Emper
131	Platin	Platy
132	Chure	Chure
133	Tromas	Trom
134	Mefran	Mef
135	Harry	Harry
136	Sandra	Sandy
137	Praus	Praus
138	Dragos	Drago
139	Loveless	Lovey
140	Dratal	Drat
141	Bubbub	Bubby
142	Puyoyon	Puyo
143	Pompo	Pompo
144	Haman	Haman
145	Raster	Rasty
146	Devian	Devi
147	Kamakichi	Kama
148	Latis	Latis
149	Panic	Panic
150	Goro	Goro
151	Wonder	Wonda
152	Flore	Flore
153	Faro	Faro
154	Deed	Deed
155	Sliking	Sliko
156	Kingoo	Kingo
157	Metaking	Metko
158	Raider	Raido
159	Grane	Grane
160	Flyda	Flyda
161	Rangas	Ranga
162	Dogoon	Dogo
163	Laplas	Lappy
164	Goma	Goma
165	Evils	Evils
166	Demachine	Dema
167	Tsunoga	Tsuno
168	Civic	Civic
169	Amrita	Amri
170	Beat	Beat
171	Rakids	Raks
172	Mellard	Mello
173	Baheet	Bahee
174	Master	Masto
175	Tangy	Tangy
176	Toby	Toby
177	Rayman	Ray
178	Hiroro	Hiro
179	Petita	Peta
180	Falco	Falco
181	Petito	Peto
182	Marco	Marco
183	Petiro	Petro
184	Storico	Stori
185	Petisuke	Petsu
186	Big Boss	Boss
187	Big Boss	Boss
188	Brother	Bro
189	Big Boss	Boss
190	Reserved	Rsrv
191	Rosa	Rosa
192	Ines	Ines
193	Mane	Mane
194	Frey	Frey
195	Breed	Breed
196	Goodian	Goody
197	Metarai	Metra
198	Paulo	Paulo
199	Fake Torneko	Fako
