id	family	row	field	japanese	full_english	display	glossary_references	wording_status	notes
companion.dialogue.000.00	dialogue	0	0	$tである。	$t it is.		enemy_tipper,torneko	independent_dialogue_reviewed_series_terms	Reserved/test-style source translated as written; natural use is unverified. Preserve substitutions and row identity; no invented conversation or changed game logic.
companion.dialogue.000.01	dialogue	0	1	$tですわ。	$t, dear.		enemy_tipper,torneko	independent_dialogue_reviewed_series_terms	Reserved/test-style source translated as written; natural use is unverified. Preserve substitutions and row identity; no invented conversation or changed game logic.
companion.dialogue.000.02	dialogue	0	2	$tなんつって。	$t... Just kidding.		enemy_tipper,torneko	independent_dialogue_reviewed_series_terms	Reserved/test-style source translated as written; natural use is unverified. Preserve substitutions and row identity; no invented conversation or changed game logic.
companion.dialogue.000.03	dialogue	0	3	$tであります。	$t, reporting for duty.		enemy_tipper,torneko	independent_dialogue_reviewed_series_terms	Reserved/test-style source translated as written; natural use is unverified. Preserve substitutions and row identity; no invented conversation or changed game logic.
companion.dialogue.000.04	dialogue	0	4	$tだね。	$t, right?		enemy_tipper,torneko	independent_dialogue_reviewed_series_terms	Reserved/test-style source translated as written; natural use is unverified. Preserve substitutions and row identity; no invented conversation or changed game logic.
companion.dialogue.000.05	dialogue	0	5	$tじゃ！	$t, I say!		enemy_tipper,torneko	independent_dialogue_reviewed_series_terms	Reserved/test-style source translated as written; natural use is unverified. Preserve substitutions and row identity; no invented conversation or changed game logic.
companion.dialogue.000.06	dialogue	0	6	$tレベルアップ！	$t levels up!		enemy_tipper,torneko	independent_dialogue_reviewed_series_terms	Reserved/test-style source translated as written; natural use is unverified. Preserve substitutions and row identity; no invented conversation or changed game logic.
companion.dialogue.000.07	dialogue	0	7	$tはレベルアップでありまする。	$t has gained a level, good sir.		enemy_tipper,torneko	independent_dialogue_reviewed_series_terms	Reserved/test-style source translated as written; natural use is unverified. Preserve substitutions and row identity; no invented conversation or changed game logic.
companion.dialogue.051.00	dialogue	51	0	$m0「うわははは。<CR>$xあー　おかしい。<CR>$xうははははははっ。	"$m0: ""Wahahaha! Oh, that's funny! Wahahahahaha!"""		enemy.bag_o_laughs	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.051.01	dialogue	51	1	$m0「あはあはあは。<CR>$xいや　ハシが転げても<CR>$xおかしい年ごろ　なんですわ。	"$m0: ""Ahahaha! I'm at that age where absolutely anything sets me giggling!"""		enemy.bag_o_laughs	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.051.02	dialogue	51	2	$m0「あらあら。<CR>$xなんか　あちこち　穴が<CR>$xあいちゃったよ　うはははは。	"$m0: ""Oh dear! I've sprung holes all over the place! Wahahaha!"""		enemy.bag_o_laughs	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.051.03	dialogue	51	3	$m0「おっとと。<CR>$x体力が　半分に減ってたよ。<CR>$xこりゃ　まいったね　うはは。	"$m0: ""Whoops! My HP's down to half! Well, that's a fine mess! Hahaha!"""		enemy.bag_o_laughs,hp	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.051.04	dialogue	51	4	$m0「おやおや。<CR>$xなんか　もうダメってカンジ？<CR>$xげらげらげら！	"$m0: ""Oh my! Am I done for? Hahahahaha!"""		enemy.bag_o_laughs	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.051.05	dialogue	51	5	$m0「あひひ。<CR>$x体力が　ないってカンジだけど<CR>$xもう　笑うしかないよね　うひ。	"$m0: ""Hee hee! Looks like I'm out of strength. All I can do is laugh! Hee!"""		enemy.bag_o_laughs	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.051.06	dialogue	51	6	$m0「うひょひょ。<CR>$xレベル上がっちゃったよ。<CR>$xうれしいね　うひひひひひ。	"$m0: ""Whoo-hoo! My level went up! Oh, what joy! Heeheehee!"""		enemy.bag_o_laughs	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.051.07	dialogue	51	7	$m0「おほほ。<CR>$xレベルアップ　いたしましてよ。<CR>$xなんつって　うははははっ。	"$m0: ""Ohoho! I do believe I've levelled up, darling! Just kidding! Wahahaha!"""		enemy.bag_o_laughs	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.052.00	dialogue	52	0	$m0「なに？<CR>$xボクの宝石　ほしいの？<CR>$xあげないよーだ。	"$m0: ""What? You want my jewels? Well, you can't have them!"""		enemy.goodybag	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.052.01	dialogue	52	1	$m0「キミも　ボクと<CR>$xいっしょに　踊ろうよ！<CR>$xホラ　もっとクルクル回って！	"$m0: ""Come and dance with me! Go on, spin round some more!"""		enemy.goodybag	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.052.02	dialogue	52	2	$m0「あれれ。<CR>$xボクの宝石　だいぶ<CR>$x減っちゃったな。	"$m0: ""Oh dear. Quite a few of my jewels have gone missing."""		enemy.goodybag	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.052.03	dialogue	52	3	$m0「ボクの体力が<CR>$x半分くらいに　なっちゃった。<CR>$xでも　踊るのは　やめないよ！	"$m0: ""I've only got about half my HP left. But I won't stop dancing!"""		enemy.goodybag,hp	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.052.04	dialogue	52	4	$m0「ふくろの中が<CR>$xほとんど　カラッポだよ。<CR>$xボク　もうダメかもしれない。	"$m0: ""My bag's almost empty. I might be done for."""		enemy.goodybag	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.052.05	dialogue	52	5	$m0「体力が　もう<CR>$xぜんぜん　残ってないよ……。<CR>$xつぎの踊りが　ラストダンスかな。	"$m0: ""I've hardly any strength left... Will the next dance be my last?"""		enemy.goodybag	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.052.06	dialogue	52	6	$m0「わーい。<CR>$xレベルアップしちゃったよ。<CR>$xよし　お祝いの踊りだー。	"$m0: ""Hooray! I've levelled up! Time for a celebration dance!"""		enemy.goodybag	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.052.07	dialogue	52	7	$m0「よーし。<CR>$xレベルが上がったみたいだ。<CR>$xますます　踊るよ　はげしく！	"$m0: ""All right! My level's gone up. I'll dance harder than ever!"""		enemy.goodybag	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.053.00	dialogue	53	0	$m0「あ。あんまり<CR>$xボクに　近づかないでね。<CR>$x胞子が　飛んでるから。	"$m0: ""Oh! Don't get too close to me. My spores are floating about."""		enemy.funghoul	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.053.01	dialogue	53	1	$m0「やだなあ。<CR>$xあんまり　戦いたくないなあ。	"$m0: ""Oh dear. I really don't want to fight."""		enemy.funghoul	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.053.02	dialogue	53	2	$m0「ばふばふっ。<CR>$xカサが　やぶけちゃった……。	"$m0: ""Poof, poof! My cap's been torn..."""		enemy.funghoul	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.053.03	dialogue	53	3	$m0「ああ～。<CR>$xボクの体力が　もう半分しか<CR>$x残ってないよ～。	"$m0: ""Ohhh! I've only got half my HP left!"""		enemy.funghoul,hp	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.053.04	dialogue	53	4	$m0「ボク　やっぱり<CR>$x戦いには　向いてないのかも。<CR>$xこのままじゃ　死んじゃう～。	"$m0: ""Maybe I'm just not cut out for fighting. At this rate, I'll die!"""		enemy.funghoul	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.053.05	dialogue	53	5	$m0「ばふ……。<CR>$x体力が　なくなっちゃいそう。<CR>$xふつうのキノコに　もどろうかな。	"$m0: ""Poof... I'm nearly out of strength. Maybe I'll go back to being an ordinary mushroom."""		enemy.funghoul	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.053.06	dialogue	53	6	$m0「ばふっ。<CR>$xレベルアップしちゃったよ！<CR>$xボクでも　できるんだ！	"$m0: ""Poof! I've levelled up! Even I can do it!"""		enemy.funghoul	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.053.07	dialogue	53	7	$m0「さっき　レベルが<CR>$x上がったから　少しは強く<CR>$xなったかな　ボク。	"$m0: ""I just went up a level. Does that mean I'm a little stronger now?"""		enemy.funghoul	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.054.00	dialogue	54	0	$m0「オレの毒は<CR>$x敵のチカラを　弱らせてしまうんだ。<CR>$xどうだ　すごいだろう！	"$m0: ""My poison weakens the enemy's strength. Pretty impressive, eh?"""		enemy.morphean_mushroom	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.054.01	dialogue	54	1	$m0「オレに　さわるなよ。<CR>$xおまえも　マタンゴになるぜ？<CR>$xわはははっ。	"$m0: ""Don't touch me! You'll turn into a Morphean mushroom too! Wahahaha!"""		enemy.morphean_mushroom	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.054.02	dialogue	54	2	$m0「いてて……。<CR>$xヤツら　手加減ってのを<CR>$x知らないらしいな……。	"$m0: ""Ow... Those lot don't seem to know how to pull their punches..."""		enemy.morphean_mushroom	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.054.03	dialogue	54	3	$m0「なんてこった！<CR>$xオレの体力を　半分に<CR>$x減らしたヤツは　どこのどいつだ！	"$m0: ""What the!? Who's the scoundrel who cut my HP in half!?"""		enemy.morphean_mushroom,hp	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.054.04	dialogue	54	4	$m0「おいおい！<CR>$xこのままじゃ　オレは<CR>$xやられちまうじゃねえか！！	"$m0: ""Hey! At this rate, I'm going to get killed!"""		enemy.morphean_mushroom	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.054.05	dialogue	54	5	$m0「うぐう……。<CR>$xオレの体力が……<CR>$xなくなっちまうぜ……。	"$m0: ""Ugh... My strength... It's running out..."""		enemy.morphean_mushroom	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
companion.dialogue.054.06	dialogue	54	6	$m0「おっとと。<CR>$xレベルアップたあ<CR>$xうれしいねえ。	"$m0: ""Well, well! A level up! That's a nice surprise."""		enemy.morphean_mushroom	independent_dialogue_reviewed_series_terms	Independently translated from the pinned Japanese; existing species identities retained. Full wording, measured wrapping, no display abbreviation. Speech quirks and jokes are project adaptations. Preserve all semantic substitutions; replace $x indentation with measured line breaks.
