offset	english
872FEC	Invalid
872FF4	From the beginning
873000	Sea Dragon Isle ruins
873010	Monster arena
873024	Great Tree roots
873030	Northern Plateau shrine
873044	Mountain Foothills shrine
87305C	Traveller's Altar
873068	Ruins rest stop - North
87307C	Ruins rest stop - South
873090	Seabed mountain rest stop
8730A4	Temple chamber
8730B4	Beckoning shrine
8730C8	Shrine of the Gods
8730D8	Great Baleina castle town
8730F0	Jungle Isle
8730F8	Great Baleina Isle
87310C	Sea Dragon Isle
873114	Barinabo Isle
873120	Great Baleina Castle
873134	Conklave Village
873144	Waiting room
873150	Jungle hut
87315C	Madame Gracos's bazaar
873178	Fortune-teller's house
873188	Costa Libera
873198	Sea Dragon Lighthouse
8731A4	Undersea House
8731B0	Medal King's castle
8731C0	Barinabo Village
B7A55C	Continue into the dungeon\nBeckoning cavern?
B7A71C	Continue into the dungeon\nPath of the gods?
B7A844	Rosa: "Nobody told me about this... Oh, well. Let's head for the stairs down."
B7A8A4	Rosa: "What's this? A sealed door even the Barinabo chief's grandson can't open?"
B7AA14	'If you are the chosen one, free this door's memories and follow the path to truth.'
B7AA6C	'Those lit by the light dwell in light. The mirror of the past lies in the past.'
B7AAB4	Something like ancient writing is carved into the stone. It reads:
B7AAEC	$t examined the writing on the stone tablet in the wall.
B7AC18	There is a hollow in the middle of the door, as if something should fit inside...
B7AC58	$t examined the door ahead.
B7AD0C	The Star of the Gods slipped into the hollow in the door, as though drawn inside!
B7AD50	The Star of the Gods that Tipper carried began to glow!
B84F18	Return to the dungeon\nBeckoning cavern?
B84FE0	Continue into the dungeon\nSouth Sea tunnel?
B853CC	???: "That's all on Sealing traps. Anything else you'd like to hear?"
B85414	???: "It may be tough, but patience is the key!"
B85448	???: "Leaving them alone won't restore them, you see..."
B85480	???: "To restore a sealed item, you have to keep using it."
B854D8	???: "Quite a nuisance! You'll want to fix that as soon as you can, eh?"
B85520	???: "A sealed item's name turns red, and its special powers stop working."
B85574	???: "It seals items you're carrying, such as weapons and rings."
B855C8	???: "There are all sorts of traps. One of them is called a Sealing trap."
B85620	???: "That's all on traps. Anything else you'd like to hear?"
B85660	???: "When you enter a new room, it may be wise to check for traps, just in case."
B856B8	???: "Swing your weapon to reveal any trap right in front of you."
B8570C	???: "If you're healthy, you may manage. If not, search for traps as you go."
B8576C	???: "Some nasty traps explode when you step on them, dealing heavy damage."
B857C8	???: "Others release sleeping gas or send you flying somewhere else. So many kinds!"
B85820	???: "Some fire Wooden arrows at you. Others spin you round until you're dizzy."
B85878	???: "Dungeons are full of all sorts of fearsome traps."
B858BC	???: "That's all on items. Anything else you'd like to hear?"
B85900	???: "Collapse in a dungeon, and monsters will steal your gold and items."
B85960	???: "If you feel you can't go on, swallow your pride and use an Evac scroll to return."
B859C0	???: "Dungeons are littered with items. Pick them up and try them out."
B85A18	???: "Recovery pots restore your HP, while Heal staffs restore your companions' HP..."
B85A70	???: "And Storage pots are essential for carrying plenty of items."
B85AB8	???: "A Flame herb, for instance, will make short work of most ordinary monsters."
B85B0C	???: "Early on, learn to fight by making good use of whatever items you find."
B85B68	???: "You'll need weapons and shields, and you'll need to strengthen them. That takes time."
B85BC8	???: "Listen. Even a hero struggles to fight without a strong weapon and shield."
B85C20	???: "Master your items, and you'll master the dungeon. That's a saying of mine."
B85C70	???: "That's all on monsters. Anything else you'd like to hear?"
B85CB8	???: "Don't just attack blindly. Work out ways to fight that give you an advantage."
B85D14	???: "Using a scroll to paralyse them is another good idea."
B85D58	???: "For instance, throw a sleep-inducing herb at a monster to put it to sleep..."
B85DA4	???: "Until you can beat them in one hit, use items wisely to stop them moving."
B85E00	???: "Some are so fast that they move twice for every move you make."
B85E54	???: "Watch out for those that put you or your companions to sleep, or confuse you."
B85EAC	???: "There are all sorts of monsters out there..."
B85EE8	???: "That's all on dungeons. Anything else you'd like to hear?"
B85F30	???: "The corner of the doorway may block your blow. Be careful!"
B85F94	???: "Oh, I nearly forgot. When attacking a monster diagonally from a doorway..."
