id	family	japanese	full_english	display	term_ids	evidence	notes
gameplay.001b3bf0	message	水上ではできない動作です。	You can't do that on water.			Independent project translation from pinned Japanese ROM	
gameplay.001b3c06	message	足元に何もありません。	There's nothing at your feet.			Independent project translation from pinned Japanese ROM	
gameplay.001b3c16	stats	武器の強さ<03 08 44><03 05 25 63>%d<03 08 68><03 05 07>満腹度<03 08 98>%d/%d	Weapon{hex:030844}{hex:0305}%c%d{hex:030868030507}Fullness{hex:030898}%d/%d		fullness	Independent project translation from pinned Japanese ROM	
gameplay.001b3c3c	stats	盾の強さ<03 05 25 63><03 08 44>%d<03 08 68><03 05 07>経験値<03 08 98>%d	Shield{hex:0305}%c{hex:030844}%d{hex:030868030507}XP{hex:030898}%d			Independent project translation from pinned Japanese ROM	
gameplay.001b3c5d	stats	ちから<03 08 44>%d/%d<03 08 68><03 05 07>時間<03 08 98>%02d:%02d:%02d	Strength{hex:030844}%d/%d{hex:030868030507}Time{hex:030898}%02d:%02d:%02d			Independent project translation from pinned Japanese ROM	
gameplay.001b3c84	stats	ちから<03 08 44>%d/%d<03 08 68><03 05 07>時間<03 08 98>%03d:%02d:%02d	Strength{hex:030844}%d/%d{hex:030868030507}Time{hex:030898}%03d:%02d:%02d			Independent project translation from pinned Japanese ROM	
gameplay.001b3cab	command	<03 05 25 63><03 08 04>道具<03 05 07><03 08 28>マップ	{hex:0305}%c{hex:030804}Items{hex:030507030828}Map			Independent project translation from pinned Japanese ROM	
gameplay.001b3cc9	command	<03 05 25 63><03 08 04>道具<03 05 07><03 08 28>仲間	{hex:0305}%c{hex:030804}Items{hex:030507030828}Allies			Independent project translation from pinned Japanese ROM	
gameplay.001b3ce7	command	<03 05 25 63><03 08 04>特技<03 05 07><03 08 28>マップ	{hex:0305}%c{hex:030804}Abilities{hex:030507030828}Map	{hex:0305}%c{hex:030804}Skills{hex:030507030828}Map	core.abilities	Independent project translation from pinned Japanese ROM	Full Abilities; measured Skills display label for the 32px left command column.
gameplay.001b3d05	command	<03 05 25 63><03 08 04>特技<03 05 07><03 08 28>仲間	{hex:0305}%c{hex:030804}Abilities{hex:030507030828}Allies	{hex:0305}%c{hex:030804}Skills{hex:030507030828}Allies	core.abilities	Independent project translation from pinned Japanese ROM	Full Abilities; measured Skills display label for the 32px left command column.
gameplay.001b3d23	command	<03 05 25 63><03 08 04>足元<03 05 07><03 08 28>作戦	{hex:0305}%c{hex:030804}Ground{hex:030507030828}Tactics		core.tactics	https://www.nintendo.com/eu/media/downloads/games_8/emanuals/nintendo_3ds_2/dragonquest7/ElectronicManual_Nintendo3DS_DragonQuest7_EN.pdf	
gameplay.001b3d39	command	<03 05 25 63><03 08 04>ワナ<03 05 07><03 08 28>作戦	{hex:0305}%c{hex:030804}Trap{hex:030507030828}Tactics		core.tactics	https://www.nintendo.com/eu/media/downloads/games_8/emanuals/nintendo_3ds_2/dragonquest7/ElectronicManual_Nintendo3DS_DragonQuest7_EN.pdf	
