id	japanese	english	display	references	notes
dungeon-event.000a3fc4	作戦	Tactics		core.tactics	Independently translated from this Japanese source. Dialogue punctuation/continuation markers are reflowed for English; branch and formatter inputs are preserved.
dungeon-event.000a3fcc	*再開する	*Resume			Independently translated from this Japanese source. Dialogue punctuation/continuation markers are reflowed for English; branch and formatter inputs are preserved.
dungeon-event.000a3fd8	闘技場を一時停止しています。	The arena battle is paused.			Independently translated from this Japanese source. Dialogue punctuation/continuation markers are reflowed for English; branch and formatter inputs are preserved.
dungeon-event.000a400c	"まだ勝負の途中ですが　見るのをやめますか？
途中で見るのをやめた場合
勝負は　引き分けになります。
それでも　よろしいですか？"	"Stop watching before the battle is over?
Leaving now will make the battle a draw.
Are you sure?"			Independently translated from this Japanese source. Dialogue punctuation/continuation markers are reflowed for English; branch and formatter inputs are preserved.
dungeon-event.000a4088	"まだ勝負の途中ですが　見るのをやめますか？
途中で見るのをやめた場合
勝負には　負けたことになります。
それでも　よろしいですか？"	"Stop watching before the battle is over?
Leaving now will count as a defeat.
Are you sure?"			Independently translated from this Japanese source. Dialogue punctuation/continuation markers are reflowed for English; branch and formatter inputs are preserved.
dungeon-event.000a4108	"……　わたしの　めいそうを
ジャマする者は　誰だ……。

あの　うっとおしい　大地の神も
わたしのことを　完全には
封印できなかった……。
このうえ　虫ケラのような人間に
なにが　できると言うのだ？

おそれを知らぬ　おろかな人間よ。
わたしの姿を　よく見るがいい……！"	"...Who dares disturb my meditation...?
Even that meddlesome Earth God could not seal me away completely...
What can an insignificant human hope to do?
Foolish mortal, ignorant of fear... Behold my true form!"		lore.earth_god	Independently translated from this Japanese source. Dialogue punctuation/continuation markers are reflowed for English; branch and formatter inputs are preserved.
dungeon-event.000a4210	"われこそは　この地の　真の救世主
ヘルジャスティス。

そなたが　のぞむならば
わが闇の世界へ　送ってやろう。

そして　この大地もすべて
わたしのものになるのだ。

人間どもの絶望とは　なんとも
心地よいものだな。
さあ　来るがよい……。"	"I am Hell Justice, the true saviour of this land.
If you wish, I shall send you to my world of darkness.
Then all this land shall be mine.
Ah, the despair of mortals... How delightful it is. Come, then..."		enemy_hell_justice	Independently translated from this Japanese source. Dialogue punctuation/continuation markers are reflowed for English; branch and formatter inputs are preserved.
dungeon-event.000a42f8	"……　わたしの　めいそうを
さまたげる者が　ふたたび
やって来たのか……。
われこそは　この地の　真の救世主
ヘルジャスティス。

そなたが　いかに　小さな存在であるか
ここで　わたしが　教えてやろう……。
"	"...Has someone come to disturb my meditation once more...?
I am Hell Justice, the true saviour of this land.
Now I shall teach you how insignificant you really are..."		enemy_hell_justice	Independently translated from this Japanese source. Dialogue punctuation/continuation markers are reflowed for English; branch and formatter inputs are preserved.
dungeon-event.000a43c4	"……　おろかな　人間よ
なぜ　身のほどを　知らぬのか……。

ふたたび　わたしの前に　その
みにくい姿を　あらわすとは……。"	"...Foolish mortal. Why do you not know your place...?
To show your wretched face before me once again..."			Independently translated from this Japanese source. Dialogue punctuation/continuation markers are reflowed for English; branch and formatter inputs are preserved.
dungeon-event.000a4440	"われこそは　真の正義を　語る者
ヘルジャスティス。

そなたは……　ほほう　そうか。
わたしの　ヨロイをうばった者の
血を引く　息子だな。
よろしい。　そなたも
父と共に　飾ってやろう……。
"	"I am Hell Justice, the voice of true justice.
You are... Ah, I see. The son of the man who stole my armour.
Very well. I shall put you on display beside your father..."		enemy_hell_justice	Independently translated from this Japanese source. Dialogue punctuation/continuation markers are reflowed for English; branch and formatter inputs are preserved.
