id	japanese	english	glossary_references	notes
arena.0086ef3c	ハイスコアデータを記録しています……<LF>電源を切らないでください。	Saving high scores...<LF>Do not turn off the power.		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.0086ef7c	冒険の記録に　失敗しました。<LF>もう一度　記録しますか？<LF>	Saving failed.<LF>Try again?		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.0086efb4	冒険の書$j0にデータを記録しています……<LF>電源を切らないでください。	Saving Adventure Log $j0...<LF>Do not turn off the power.	adventure_log	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.0086eff8	記録に失敗したようですが<LF>もう一度　記録しますか？<LF>	Saving failed.<LF>Try again?		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c4029c	やめる	Cancel		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c402a4	呪いをとく	Lift curse		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c402b0	おつげを聞く	Hear guidance		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c402c0	お祈りをする	Pray		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c402d0	イネス	Ines	enemy_ines	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c402d8	ロサ	Rosa	enemy_rosa	Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40330	やめる	Cancel		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40338	説明	Instructions		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40340	勝負する	Place a bet		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c4034c	出場一覧	Entrants		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c40394	モンスター預かり所	Monster lodge		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c403a8	登録したモンスターと対戦	Registered monsters		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c403c4	闘技場のモンスターと対戦	Arena monsters		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c4041c	闘技場の説明	Arena instructions		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
arena.00c4042c	対戦する	Battle		Independently translated from the pinned Japanese original. Existing reviewed series names are retained.
